,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days
7467,A22417,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,7,57.5,0,44.0,19350000.0,1,0,0,1,0,1,0,0,1,1,0,223 days 23:00:00,9,223
14253,A34142,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,7,0.0,0,74.0,69379200.0,0,0,0,1,0,1,0,0,1,1,0,803 days 00:00:00,9,803
14254,A34143,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,7,0.0,0,74.0,69379200.0,0,0,0,1,0,1,0,0,1,1,0,803 days 00:00:00,9,803
24686,C13687,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,7,0.0,0,65.6,47523600.0,0,0,0,1,0,1,0,0,1,1,0,550 days 01:00:00,9,550
24860,C14118,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,41,0.0,0,131.2,43635600.0,0,0,0,1,0,1,0,0,1,1,0,505 days 01:00:00,9,505
24934,C14303,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,7,0.0,0,131.0,52794000.0,0,0,0,1,0,1,0,0,1,1,0,611 days 01:00:00,9,611
25195,C14924,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,41,0.0,0,131.0,44845200.0,0,0,0,1,0,1,0,0,1,1,0,519 days 01:00:00,9,519
25311,C15160,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,7,0.0,0,68.77,47955600.0,0,0,0,1,0,1,0,0,1,1,0,555 days 01:00:00,9,555
25325,C15195,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,80,137.55,0,275.1,5184000.0,0,0,0,1,0,1,0,0,1,1,0,60 days 00:00:00,9,60
25370,C15343,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,80,0.0,0,275.1,37587600.0,0,0,0,1,0,1,0,0,1,1,0,435 days 01:00:00,9,435
25411,C15502,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,80,275.1,0,275.1,21168000.0,0,0,0,1,0,1,0,0,1,1,0,245 days 00:00:00,9,245
25682,C16481,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,80,0.0,0,275.1,52448400.0,0,0,0,1,0,1,0,0,1,1,0,607 days 01:00:00,9,607
25884,C17166,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,80,0.0,0,275.1,49597200.0,0,0,0,1,0,1,0,0,1,1,0,574 days 01:00:00,9,574
