,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
1201,A1183,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,30.0,0,71.5,82512000.0,1,0,0,1,0,1,0,0,1,1,0,955 days 00:00:00,7,955,638067.4288298129,11995667146.751478
2451,A13984,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,157,196.0,0,74.0,86662800.0,1,1,1,1,0,1,1,0,1,1,0,1003 days 01:00:00,7,1003,638067.4288298129,11995667146.751478
2574,A1419,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.6,0,71.5,82252800.0,1,0,0,1,0,1,0,0,1,1,0,952 days 00:00:00,7,952,638067.4288298129,11995667146.751478
5140,A1853,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.6,0,71.5,83376000.0,1,0,0,1,0,1,0,0,1,1,0,965 days 00:00:00,7,965,638067.4288298129,11995667146.751478
6281,A2042,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,82512000.0,1,0,0,1,0,1,0,0,1,1,0,955 days 00:00:00,7,955,638067.4288298129,11995667146.751478
6477,A2074,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,81216000.0,1,0,0,1,0,1,0,0,1,1,0,940 days 00:00:00,7,940,638067.4288298129,11995667146.751478
7891,A2314,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,82166400.0,1,0,0,1,0,1,0,0,1,1,0,951 days 00:00:00,7,951,638067.4288298129,11995667146.751478
8640,A24399,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,83545200.0,1,0,0,1,0,1,0,0,1,1,0,966 days 23:00:00,7,966,638067.4288298129,11995667146.751478
8649,A24409,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,83458800.0,1,0,0,1,0,1,0,0,1,1,0,965 days 23:00:00,7,965,638067.4288298129,11995667146.751478
8720,A2453,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,81734400.0,1,0,0,1,0,1,0,0,1,1,0,946 days 00:00:00,7,946,638067.4288298129,11995667146.751478
10184,A26974,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,81471600.0,1,0,0,1,0,1,0,0,1,1,0,942 days 23:00:00,7,942,638067.4288298129,11995667146.751478
10295,A27154,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,36.0,0,74.0,81730800.0,1,0,0,1,0,1,0,0,1,1,0,945 days 23:00:00,7,945,638067.4288298129,11995667146.751478
10812,A2800,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,81820800.0,1,0,0,1,0,1,0,0,1,1,0,947 days 00:00:00,7,947,638067.4288298129,11995667146.751478
11020,A28327,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,82940400.0,1,0,0,1,0,1,0,0,1,1,0,959 days 23:00:00,7,959,638067.4288298129,11995667146.751478
11094,A28436,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,82422000.0,1,0,0,1,0,1,0,0,1,1,0,953 days 23:00:00,7,953,638067.4288298129,11995667146.751478
11148,A2855,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,35.0,0,71.5,82080000.0,1,0,0,1,0,1,0,0,1,1,0,950 days 00:00:00,7,950,638067.4288298129,11995667146.751478
11383,A29017,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,91929600.0,1,0,0,1,0,1,0,0,1,1,0,1064 days 00:00:00,7,1064,638067.4288298129,11995667146.751478
17073,A39396,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,91929600.0,1,0,0,1,0,1,0,0,1,1,0,1064 days 00:00:00,7,1064,638067.4288298129,11995667146.751478
17169,A39556,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,87091200.0,1,0,0,1,0,1,0,0,1,1,0,1008 days 00:00:00,7,1008,638067.4288298129,11995667146.751478
17224,A39651,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,91756800.0,1,0,0,1,0,1,0,0,1,1,0,1062 days 00:00:00,7,1062,638067.4288298129,11995667146.751478
17430,A40024,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,89078400.0,1,0,0,1,0,1,0,0,1,1,0,1031 days 00:00:00,7,1031,638067.4288298129,11995667146.751478
17756,A40581,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,84848400.0,2,0,0,1,0,1,0,0,1,1,0,982 days 01:00:00,7,982,638067.4288298129,11995667146.751478
18050,A41110,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,38.0,0,77.5,88473600.0,1,0,0,1,0,1,0,0,1,1,0,1024 days 00:00:00,7,1024,638067.4288298129,11995667146.751478
18058,A41121,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,87350400.0,1,0,0,1,0,1,0,0,1,1,0,1011 days 00:00:00,7,1011,638067.4288298129,11995667146.751478
18181,A41315,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,90720000.0,1,0,0,1,0,1,0,0,1,1,0,1050 days 00:00:00,7,1050,638067.4288298129,11995667146.751478
18618,A42103,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,88214400.0,1,0,0,1,0,1,0,0,1,1,0,1021 days 00:00:00,7,1021,638067.4288298129,11995667146.751478
18633,A42124,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,87868800.0,1,0,0,1,0,1,0,0,1,1,0,1017 days 00:00:00,7,1017,638067.4288298129,11995667146.751478
18640,A42135,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,87523200.0,1,0,0,1,0,1,0,0,1,1,0,1013 days 00:00:00,7,1013,638067.4288298129,11995667146.751478
18720,A42277,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,92188800.0,1,0,0,1,0,1,0,0,1,1,0,1067 days 00:00:00,7,1067,638067.4288298129,11995667146.751478
18931,A42622,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,87350400.0,1,0,0,1,0,1,0,0,1,1,0,1011 days 00:00:00,7,1011,638067.4288298129,11995667146.751478
19026,A42783,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,86313600.0,1,0,0,1,0,1,0,0,1,1,0,999 days 00:00:00,7,999,638067.4288298129,11995667146.751478
19324,A43328,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,87004800.0,1,0,0,1,0,1,0,0,1,1,0,1007 days 00:00:00,7,1007,638067.4288298129,11995667146.751478
19395,A43444,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.5,0,77.5,87436800.0,1,0,0,1,0,1,0,0,1,1,0,1012 days 00:00:00,7,1012,638067.4288298129,11995667146.751478
