,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
2,A10000,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,47516400.0,0,0,0,1,0,1,0,0,1,1,0,549 days 23:00:00,0,549,328111.38323182624,233385497065.10742
25,A10033,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,46652400.0,0,0,0,1,0,1,0,0,1,1,0,539 days 23:00:00,0,539,328111.38323182624,233385497065.10742
29,A10043,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,48898800.0,0,0,0,1,0,1,0,0,1,1,0,565 days 23:00:00,0,565,328111.38323182624,233385497065.10742
41,A10061,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,48985200.0,0,0,0,1,0,1,0,0,1,1,0,566 days 23:00:00,0,566,328111.38323182624,233385497065.10742
45,A10069,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,49330800.0,0,0,0,1,0,1,0,0,1,1,0,570 days 23:00:00,0,570,328111.38323182624,233385497065.10742
65,A10097,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,49.0,0,74.0,16758000.0,0,0,0,1,0,1,0,0,1,1,0,193 days 23:00:00,0,193,328111.38323182624,233385497065.10742
83,A10122,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,48898800.0,0,0,0,1,0,1,0,0,1,1,0,565 days 23:00:00,0,565,328111.38323182624,233385497065.10742
89,A10130,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,51926400.0,0,0,0,1,0,1,0,0,1,1,0,601 days 00:00:00,0,601,328111.38323182624,233385497065.10742
110,A10161,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,50713200.0,0,0,0,1,0,1,0,0,1,1,0,586 days 23:00:00,0,586,328111.38323182624,233385497065.10742
163,A10249,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,157,94.0,0,74.0,28684800.0,0,1,1,1,1,1,1,0,1,1,0,332 days 00:00:00,0,332,328111.38323182624,233385497065.10742
