,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
2116,A13412,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,135824400.0,0,1,0,1,0,1,0,0,1,1,0,1572 days 01:00:00,1,1572,1392991.4596202765,12397623970.827957
4992,A18299,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,74.0,140403600.0,0,1,0,1,0,1,0,0,1,1,0,1625 days 01:00:00,1,1625,1392991.4596202765,12397623970.827957
7158,A21847,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,138502800.0,0,1,0,1,0,1,0,0,1,1,0,1603 days 01:00:00,1,1603,1392991.4596202765,12397623970.827957
21496,A5889,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,42.5,160617600.0,0,1,0,1,0,1,0,0,1,1,0,1859 days 00:00:00,1,1859,1392991.4596202765,12397623970.827957
22256,A7030,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,42.5,158976000.0,0,1,0,1,0,1,0,0,1,1,0,1840 days 00:00:00,1,1840,1392991.4596202765,12397623970.827957
22765,A805,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,71.5,169606800.0,0,1,0,1,0,1,0,0,1,1,0,1963 days 01:00:00,1,1963,1392991.4596202765,12397623970.827957
36101,N31491,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,39.36,154486800.0,0,0,0,1,0,1,0,0,1,1,0,1788 days 01:00:00,1,1788,1392991.4596202765,12397623970.827957
36958,N32800,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,39.36,160704000.0,0,0,0,1,0,1,0,0,1,1,0,1860 days 00:00:00,1,1860,1392991.4596202765,12397623970.827957
37717,N34064,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,39.36,154832400.0,0,0,0,1,0,1,0,0,1,1,0,1792 days 01:00:00,1,1792,1392991.4596202765,12397623970.827957
37847,N34284,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,39.36,147747600.0,0,0,0,1,0,1,0,0,1,1,0,1710 days 01:00:00,1,1710,1392991.4596202765,12397623970.827957
