,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days
28,A10042,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,20217600.0,1,0,0,1,0,1,0,0,1,1,0,234 days 00:00:00,7,234
81,A10120,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,20908800.0,1,0,0,1,0,1,0,0,1,1,0,242 days 00:00:00,7,242
85,A10125,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,157,49.0,0,74.0,17103600.0,1,1,0,1,0,1,0,0,1,1,0,197 days 23:00:00,7,197
114,A10165,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,50626800.0,1,0,0,1,0,1,0,0,1,1,0,585 days 23:00:00,7,585
136,A10203,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,34815600.0,1,0,0,1,0,1,0,0,1,1,0,402 days 23:00:00,7,402
339,A10519,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,48207600.0,1,0,0,1,0,1,0,0,1,1,0,557 days 23:00:00,7,557
464,A10714,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,34560000.0,1,0,0,1,0,1,0,0,1,1,0,400 days 00:00:00,7,400
476,A10734,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,62640000.0,1,0,0,1,0,1,0,0,1,1,0,725 days 00:00:00,7,725
538,A10819,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19875600.0,1,0,0,1,0,1,0,0,1,1,0,230 days 01:00:00,7,230
549,A10839,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,62208000.0,1,0,0,1,0,1,0,0,1,1,0,720 days 00:00:00,7,720
596,A10927,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,21430800.0,1,0,0,1,0,1,0,0,1,1,0,248 days 01:00:00,7,248
635,A1098,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,46.0,0,71.5,17456400.0,1,0,0,1,0,1,0,0,1,1,0,202 days 01:00:00,7,202
730,A1112,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,23155200.0,1,0,0,1,0,1,0,0,1,1,0,268 days 00:00:00,7,268
734,A11128,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,63072000.0,1,0,0,1,0,1,0,0,1,1,0,730 days 00:00:00,7,730
774,A1119,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,46.0,0,71.5,40006800.0,1,0,0,1,0,1,0,0,1,1,0,463 days 01:00:00,7,463
833,A11278,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,62467200.0,1,0,0,1,0,1,0,0,1,1,0,723 days 00:00:00,7,723
889,A11367,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,92.6,0,74.0,37411200.0,1,0,0,1,0,1,0,0,1,1,0,433 days 00:00:00,7,433
895,A11377,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19962000.0,1,0,0,1,0,1,0,0,1,1,0,231 days 01:00:00,7,231
906,A1139,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,21513600.0,1,0,0,1,0,1,0,0,1,1,0,249 days 00:00:00,7,249
929,A11427,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,38620800.0,1,0,0,1,0,1,0,0,1,1,0,447 days 00:00:00,7,447
945,A11450,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,34300800.0,1,0,0,1,0,1,0,0,1,1,0,397 days 00:00:00,7,397
952,A11462,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,24195600.0,1,0,0,1,0,1,0,0,1,1,0,280 days 01:00:00,7,280
1002,A11532,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,21258000.0,1,0,0,1,0,1,0,0,1,1,0,246 days 01:00:00,7,246
1027,A11567,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,25491600.0,1,0,0,1,0,1,0,0,1,1,0,295 days 01:00:00,7,295
1072,A1163,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,20649600.0,1,0,0,1,0,1,0,0,1,1,0,239 days 00:00:00,7,239
1171,A11770,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,136.0,0,74.0,71366400.0,1,0,0,1,0,1,0,0,1,1,0,826 days 00:00:00,7,826
1201,A1183,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,30.0,0,71.5,82512000.0,1,0,0,1,0,1,0,0,1,1,0,955 days 00:00:00,7,955
1220,A11862,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,21430800.0,1,0,0,1,0,1,0,0,1,1,0,248 days 01:00:00,7,248
1274,A11943,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,18320400.0,1,0,0,1,0,1,0,0,1,1,0,212 days 01:00:00,7,212
1302,A11987,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,60912000.0,1,0,0,1,0,1,0,0,1,1,0,705 days 00:00:00,7,705
1324,A12023,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,21517200.0,1,0,0,1,0,1,0,0,1,1,0,249 days 01:00:00,7,249
1335,A12041,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,59961600.0,1,0,0,1,0,1,0,0,1,1,0,694 days 00:00:00,7,694
1421,A12175,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,22381200.0,1,0,0,1,0,1,0,0,1,1,0,259 days 01:00:00,7,259
1431,A12190,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,18666000.0,1,0,0,1,0,1,0,0,1,1,0,216 days 01:00:00,7,216
1435,A12195,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,41299200.0,1,0,0,1,0,1,0,0,1,1,0,478 days 00:00:00,7,478
1474,A12260,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,44928000.0,1,0,0,1,0,1,0,0,1,1,0,520 days 00:00:00,7,520
1475,A12261,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19702800.0,1,0,0,1,0,1,0,0,1,1,0,228 days 01:00:00,7,228
1491,A12292,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,136.0,0,74.0,43632000.0,1,0,0,1,0,1,0,0,1,1,0,505 days 00:00:00,7,505
1503,A12314,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,60393600.0,1,0,0,1,0,1,0,0,1,1,0,699 days 00:00:00,7,699
1508,A12324,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19011600.0,1,0,0,1,0,1,0,0,1,1,0,220 days 01:00:00,7,220
1571,A12442,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,16678800.0,1,0,0,1,0,1,0,0,1,1,0,193 days 01:00:00,7,193
1607,A12501,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,59270400.0,1,0,0,1,0,1,0,0,1,1,0,686 days 00:00:00,7,686
1633,A12550,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,58752000.0,1,0,0,1,0,1,0,0,1,1,0,680 days 00:00:00,7,680
1652,A12590,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,58147200.0,1,0,0,1,0,1,0,0,1,1,0,673 days 00:00:00,7,673
1690,A12655,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,59011200.0,1,0,0,1,0,1,0,0,1,1,0,683 days 00:00:00,7,683
1716,A12695,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,44236800.0,1,0,0,1,0,1,0,0,1,1,0,512 days 00:00:00,7,512
1719,A127,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,157,35.0,0,35.0,11408400.0,1,0,0,0,0,0,0,0,1,0,0,132 days 01:00:00,7,132
1854,A1294,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,25315200.0,1,0,0,1,0,1,0,0,1,1,0,293 days 00:00:00,7,293
1855,A12944,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55468800.0,1,0,0,1,0,1,0,0,1,1,0,642 days 00:00:00,7,642
1885,A12991,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,125.0,0,74.0,24541200.0,2,0,0,1,0,1,0,0,1,1,0,284 days 01:00:00,7,284
1886,A12992,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,41126400.0,1,0,0,1,0,1,0,0,1,1,0,476 days 00:00:00,7,476
1888,A12996,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19530000.0,1,0,0,1,0,1,0,0,1,1,0,226 days 01:00:00,7,226
1905,A13026,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,92.6,0,74.0,23763600.0,1,0,0,1,0,1,0,0,1,1,0,275 days 01:00:00,7,275
1910,A13034,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19184400.0,1,0,0,1,0,1,0,0,1,1,0,222 days 01:00:00,7,222
1915,A13039,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,92.6,0,74.0,18752400.0,1,0,0,1,0,1,0,0,1,1,0,217 days 01:00:00,7,217
1919,A13043,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,42508800.0,1,0,0,1,0,1,0,0,1,1,0,492 days 00:00:00,7,492
1928,A13058,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,17974800.0,1,0,0,1,0,1,0,0,1,1,0,208 days 01:00:00,7,208
1942,A1308,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,157,46.0,0,35.0,15123600.0,1,0,0,0,0,0,0,0,1,1,0,175 days 01:00:00,7,175
1949,A13090,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,17974800.0,1,0,0,1,0,1,0,0,1,1,0,208 days 01:00:00,7,208
1996,A13209,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,44499600.0,1,0,0,1,0,1,0,0,1,1,0,515 days 01:00:00,7,515
2049,A13306,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,57110400.0,1,0,0,1,0,1,0,0,1,1,0,661 days 00:00:00,7,661
2054,A13316,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,42681600.0,1,0,0,1,0,1,0,0,1,1,0,494 days 00:00:00,7,494
2087,A13380,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,52963200.0,1,0,0,1,0,1,0,0,1,1,0,613 days 00:00:00,7,613
2094,A1339,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,119.0,0,71.5,29203200.0,2,0,0,1,0,1,0,0,1,1,0,338 days 00:00:00,7,338
2128,A1343,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,20995200.0,1,0,0,1,0,1,0,0,1,1,0,243 days 00:00:00,7,243
2174,A13519,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,16333200.0,1,0,0,1,0,1,0,0,1,1,0,189 days 01:00:00,7,189
2207,A13593,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,38707200.0,1,0,0,1,0,1,0,0,1,1,0,448 days 00:00:00,7,448
2221,A13613,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,56678400.0,1,0,0,1,0,1,0,0,1,1,0,656 days 00:00:00,7,656
2238,A13636,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,25660800.0,1,0,0,1,0,1,0,0,1,1,0,297 days 00:00:00,7,297
2246,A13651,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,39916800.0,1,0,0,1,0,1,0,0,1,1,0,462 days 00:00:00,7,462
2259,A13673,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19530000.0,1,0,0,1,0,1,0,0,1,1,0,226 days 01:00:00,7,226
2344,A13824,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,25491600.0,1,0,0,1,0,1,0,0,1,1,0,295 days 01:00:00,7,295
2395,A13894,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,39312000.0,1,0,0,1,0,1,0,0,1,1,0,455 days 00:00:00,7,455
2431,A13947,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,157,49.0,0,36.0,7257600.0,1,0,0,0,0,0,0,0,1,1,0,84 days 00:00:00,7,84
2451,A13984,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,157,196.0,0,74.0,86662800.0,1,1,1,1,0,1,1,0,1,1,0,1003 days 01:00:00,7,1003
2480,A1402,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,46.0,0,71.5,17283600.0,1,0,0,1,0,1,0,0,1,1,0,200 days 01:00:00,7,200
2481,A14021,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,15037200.0,1,0,0,1,0,1,0,0,1,1,0,174 days 01:00:00,7,174
2488,A14033,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,15987600.0,1,0,0,1,0,1,0,0,1,1,0,185 days 01:00:00,7,185
2525,A14100,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,18925200.0,1,0,0,1,0,1,0,0,1,1,0,219 days 01:00:00,7,219
2548,A14141,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,22032000.0,1,0,0,1,0,1,0,0,1,1,0,255 days 00:00:00,7,255
2550,A14146,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,19526400.0,1,0,0,1,0,1,0,0,1,1,0,226 days 00:00:00,7,226
2574,A1419,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,51.6,0,71.5,82252800.0,1,0,0,1,0,1,0,0,1,1,0,952 days 00:00:00,7,952
2582,A1420,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,25056000.0,1,0,0,1,0,1,0,0,1,1,0,290 days 00:00:00,7,290
2645,A14301,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,24454800.0,1,0,0,1,0,1,0,0,1,1,0,283 days 01:00:00,7,283
2649,A1431,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,20563200.0,1,0,0,1,0,1,0,0,1,1,0,238 days 00:00:00,7,238
2666,A14339,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157,49.0,0,74.0,55728000.0,1,0,0,1,0,1,0,0,1,1,0,645 days 00:00:00,7,645
2760,A14504,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,16851600.0,1,0,0,1,0,1,0,0,1,1,0,195 days 01:00:00,7,195
2775,A14534,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,17456400.0,1,0,0,1,0,1,0,0,1,1,0,202 days 01:00:00,7,202
2785,A14553,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,30153600.0,1,0,0,1,0,1,0,0,1,1,0,349 days 00:00:00,7,349
2872,A1470,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,82.5,0,71.5,26438400.0,1,0,0,1,0,1,0,0,1,1,0,306 days 00:00:00,7,306
2873,A14702,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,87.0,0,74.0,15037200.0,1,0,0,1,0,1,0,0,1,1,0,174 days 01:00:00,7,174
2876,A14709,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,136.0,0,74.0,19270800.0,1,0,0,1,0,1,0,0,1,1,0,223 days 01:00:00,7,223
