,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days
2392,A13890,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,157,0.0,0,74.0,56246400.0,0,0,0,1,0,1,0,0,1,1,0,651 days 00:00:00,3,651
2515,A14079,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,157,0.0,0,36.0,5184000.0,0,0,0,0,0,0,0,0,1,0,0,60 days 00:00:00,3,60
2880,A14716,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,157,0.0,0,74.0,55555200.0,0,0,0,1,0,1,0,0,1,1,0,643 days 00:00:00,3,643
3981,A16550,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,157,0.0,0,36.0,6739200.0,0,0,0,0,0,0,0,0,1,0,0,78 days 00:00:00,3,78
9562,A25957,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,157,0.0,0,74.0,42073200.0,0,0,0,1,0,1,0,0,1,1,0,486 days 23:00:00,3,486
12860,A31753,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,157,36.0,0,36.0,950400.0,0,0,0,0,0,0,0,0,1,0,0,11 days 00:00:00,3,11
13951,A33648,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,157,0.0,0,74.0,70588800.0,0,0,0,1,0,1,0,0,1,1,0,817 days 00:00:00,3,817
18515,A41900,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,157,0.0,0,77.5,87436800.0,0,0,0,1,0,1,0,0,1,1,0,1012 days 00:00:00,3,1012
18928,A42612,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,157,38.0,0,38.0,5097600.0,0,0,0,0,0,0,0,0,1,0,0,59 days 00:00:00,3,59
19968,A44418,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,157,38.0,0,38.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00,3,4
