,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
77070,S105542,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,2,143.0,200970000.0,0,1,0,1,0,1,0,0,1,1,0,2326 days 01:00:00,5,2326,1298640.335381866,2467416620.454546
78996,S109861,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,2,143.0,185155200.0,0,1,0,1,0,1,0,0,1,1,0,2143 days 00:00:00,5,2143,1298640.335381866,2467416620.454546
80041,S112310,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,158,0.0,2,143.0,173062800.0,0,1,0,1,0,1,1,0,1,1,0,2003 days 01:00:00,5,2003,1298640.335381866,2467416620.454546
81281,S115017,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,2,143.0,169434000.0,0,1,0,1,0,1,0,0,1,1,0,1961 days 01:00:00,5,1961,1298640.335381866,2467416620.454546
82055,S117234,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,2,143.0,159580800.0,0,1,0,1,0,1,0,0,1,1,0,1847 days 00:00:00,5,1847,1298640.335381866,2467416620.454546
82725,S118591,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,2,148.0,142822800.0,0,1,0,1,0,1,0,0,1,1,0,1653 days 01:00:00,5,1653,1298640.335381866,2467416620.454546
145840,V14807,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,275.1,229568400.0,0,1,0,1,0,1,0,0,1,1,0,2657 days 01:00:00,5,2657,1298640.335381866,2467416620.454546
145855,V15269,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,197341200.0,0,1,0,1,0,1,0,0,1,1,0,2284 days 01:00:00,5,2284,1298640.335381866,2467416620.454546
145859,V15303,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,196822800.0,0,1,0,1,0,1,0,0,1,1,0,2278 days 01:00:00,5,2278,1298640.335381866,2467416620.454546
145871,V15417,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,193104000.0,0,1,0,1,0,1,0,0,1,1,0,2235 days 00:00:00,5,2235,1298640.335381866,2467416620.454546
145878,V15453,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,192412800.0,0,1,0,1,0,1,0,0,1,1,0,2227 days 00:00:00,5,2227,1298640.335381866,2467416620.454546
145894,V15527,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,188179200.0,0,1,0,1,0,1,0,0,1,1,0,2178 days 00:00:00,5,2178,1298640.335381866,2467416620.454546
145915,V15617,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,185932800.0,0,1,0,1,0,1,0,0,1,1,0,2152 days 00:00:00,5,2152,1298640.335381866,2467416620.454546
145917,V15623,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,185241600.0,0,1,0,1,0,1,0,0,1,1,0,2144 days 00:00:00,5,2144,1298640.335381866,2467416620.454546
145951,V15735,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,177555600.0,0,1,0,1,0,1,0,0,1,1,0,2055 days 01:00:00,5,2055,1298640.335381866,2467416620.454546
145976,V15850,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,175222800.0,0,1,0,1,0,1,0,0,1,1,0,2028 days 01:00:00,5,2028,1298640.335381866,2467416620.454546
146066,V16201,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,2,286.5,163386000.0,0,1,0,1,0,1,0,0,1,1,0,1891 days 01:00:00,5,1891,1298640.335381866,2467416620.454546
146134,V16460,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,142,0.0,2,286.5,159840000.0,0,1,1,1,0,1,1,1,1,1,0,1850 days 00:00:00,5,1850,1298640.335381866,2467416620.454546
146158,V16549,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,142,0.0,2,286.5,158803200.0,0,1,0,1,0,1,1,0,1,1,1,1838 days 00:00:00,5,1838,1298640.335381866,2467416620.454546
