,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
321,A10495,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,0,148.0,149648400.0,0,1,0,1,0,1,0,0,1,1,0,1732 days 01:00:00,20,1732,1388793.3417599509,29164660085.765236
637,A10981,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,148179600.0,0,1,0,1,0,1,0,0,1,1,0,1715 days 01:00:00,20,1715,1388793.3417599509,29164660085.765236
690,A11065,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,148870800.0,0,1,0,1,0,1,0,0,1,1,0,1723 days 01:00:00,20,1723,1388793.3417599509,29164660085.765236
965,A11475,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,147574800.0,0,1,0,1,0,1,0,0,1,1,0,1708 days 01:00:00,20,1708,1388793.3417599509,29164660085.765236
1040,A11587,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,147661200.0,0,1,0,1,0,1,0,0,1,1,0,1709 days 01:00:00,20,1709,1388793.3417599509,29164660085.765236
1248,A11901,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,147574800.0,0,1,0,1,0,1,0,0,1,1,0,1708 days 01:00:00,20,1708,1388793.3417599509,29164660085.765236
1773,A1280,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,169002000.0,0,1,0,1,0,1,0,0,1,1,0,1956 days 01:00:00,20,1956,1388793.3417599509,29164660085.765236
2244,A13648,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,142131600.0,0,1,0,1,0,1,0,0,1,1,0,1645 days 01:00:00,20,1645,1388793.3417599509,29164660085.765236
2466,A14001,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,143600400.0,0,1,0,1,0,1,0,0,1,1,0,1662 days 01:00:00,20,1662,1388793.3417599509,29164660085.765236
2556,A14156,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,142822800.0,0,1,0,1,0,1,0,0,1,1,0,1653 days 01:00:00,20,1653,1388793.3417599509,29164660085.765236
2859,A14679,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,135219600.0,0,1,0,1,0,1,0,0,1,1,0,1565 days 01:00:00,20,1565,1388793.3417599509,29164660085.765236
3627,A15991,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,141613200.0,0,1,0,1,0,1,0,0,1,1,0,1639 days 01:00:00,20,1639,1388793.3417599509,29164660085.765236
4064,A16698,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,141440400.0,0,1,0,1,0,1,0,0,1,1,0,1637 days 01:00:00,20,1637,1388793.3417599509,29164660085.765236
4332,A17158,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,138934800.0,0,1,0,1,0,1,0,0,1,1,1,1608 days 01:00:00,20,1608,1388793.3417599509,29164660085.765236
4455,A17354,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,140662800.0,0,1,0,1,0,1,0,0,1,1,0,1628 days 01:00:00,20,1628,1388793.3417599509,29164660085.765236
4484,A17393,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,140058000.0,0,1,0,1,0,1,0,0,1,1,0,1621 days 01:00:00,20,1621,1388793.3417599509,29164660085.765236
4854,A18052,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,138848400.0,0,1,0,1,0,1,0,0,1,1,0,1607 days 01:00:00,20,1607,1388793.3417599509,29164660085.765236
5086,A18455,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,140749200.0,0,1,0,1,0,1,0,0,1,1,0,1629 days 01:00:00,20,1629,1388793.3417599509,29164660085.765236
5229,A18693,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,136861200.0,0,1,0,1,0,1,0,0,1,1,0,1584 days 01:00:00,20,1584,1388793.3417599509,29164660085.765236
6632,A21010,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,137638800.0,0,1,0,1,0,1,0,0,1,1,0,1593 days 01:00:00,20,1593,1388793.3417599509,29164660085.765236
