,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days
23772,C10159,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,55296000.0,0,0,0,1,0,1,0,0,1,1,0,640 days 00:00:00,18,640
23780,C10193,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,524.0,52707600.0,0,0,0,1,0,1,0,0,1,1,0,610 days 01:00:00,18,610
23792,C10394,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,41554800.0,0,0,0,1,0,1,0,0,1,1,0,480 days 23:00:00,18,480
23818,C10542,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,80,131.2,0,262.4,5356800.0,0,0,0,1,0,1,0,0,1,1,0,62 days 00:00:00,18,62
23825,C10589,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,80,262.4,0,262.4,14252400.0,0,0,0,1,0,1,0,0,1,1,0,164 days 23:00:00,18,164
23871,C10944,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,122256000.0,0,0,0,1,0,1,0,0,1,1,0,1415 days 00:00:00,18,1415
23874,C10958,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,66524400.0,0,0,0,1,0,1,0,0,1,1,0,769 days 23:00:00,18,769
23899,C11073,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,33692400.0,0,0,0,1,0,1,0,0,1,1,0,389 days 23:00:00,18,389
23923,C11140,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,94,0.0,0,625.95,64022400.0,0,0,0,1,0,1,0,0,1,1,0,741 days 00:00:00,18,741
23943,C11218,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,63244800.0,0,0,0,1,0,1,0,0,1,1,0,732 days 00:00:00,18,732
23987,C11478,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,72,0.0,0,125.19,59702400.0,0,0,0,1,0,1,0,0,1,1,0,691 days 00:00:00,18,691
24001,C11559,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,46137600.0,0,0,0,1,0,1,0,0,1,1,0,534 days 00:00:00,18,534
24005,C11579,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,262.4,41130000.0,0,0,0,1,0,1,0,0,1,1,0,476 days 01:00:00,18,476
24131,C12100,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,52444800.0,0,0,0,1,0,1,0,0,1,1,0,607 days 00:00:00,18,607
24150,C12173,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,43282800.0,0,0,0,1,0,1,0,0,1,1,0,500 days 23:00:00,18,500
24169,C12238,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,80,262.26,0,250.38,24796800.0,1,0,0,1,0,1,0,0,1,1,0,287 days 00:00:00,18,287
24171,C12240,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,51321600.0,0,0,0,1,0,1,0,0,1,1,0,594 days 00:00:00,18,594
24173,C12247,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,94,0.0,0,1032.91,53740800.0,0,0,0,1,0,1,0,0,1,1,0,622 days 00:00:00,18,622
24174,C12248,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,53740800.0,0,0,0,1,0,1,0,0,1,1,0,622 days 00:00:00,18,622
24175,C12250,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,53395200.0,0,0,0,1,0,1,0,0,1,1,0,618 days 00:00:00,18,618
24208,C12405,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,51408000.0,0,0,0,1,0,1,0,0,1,1,0,595 days 00:00:00,18,595
24217,C12426,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,50284800.0,0,0,0,1,0,1,0,0,1,1,0,582 days 00:00:00,18,582
24219,C12431,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,94,0.0,0,516.46,51840000.0,0,0,0,1,0,1,0,0,1,1,0,600 days 00:00:00,18,600
24223,C12449,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,51840000.0,0,0,0,1,0,1,0,0,1,1,0,600 days 00:00:00,18,600
24245,C12534,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,80,0.0,0,250.38,51148800.0,0,0,0,1,0,1,0,0,1,1,0,592 days 00:00:00,18,592
