,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days
23774,C10163,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,180,0.0,0,62.59,62553600.0,0,0,0,1,0,1,0,0,1,1,0,724 days 00:00:00,13,724
23783,C10197,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,180,0.0,0,65.6,40784400.0,0,0,0,1,0,1,0,0,1,1,0,472 days 01:00:00,13,472
23788,C10317,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,52444800.0,0,0,0,1,0,1,0,0,1,1,0,607 days 00:00:00,13,607
23801,C10460,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,37.56,37234800.0,0,0,0,1,0,1,0,0,1,1,0,430 days 23:00:00,13,430
23802,C10463,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,32486400.0,0,0,0,1,0,1,0,0,1,1,0,376 days 00:00:00,13,376
23803,C10465,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,32486400.0,0,0,0,1,0,1,0,0,1,1,0,376 days 00:00:00,13,376
23805,C10470,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,32400000.0,0,0,0,1,0,1,0,0,1,1,0,375 days 00:00:00,13,375
23806,C10471,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,37.56,67993200.0,0,0,0,1,0,1,0,0,1,1,0,786 days 23:00:00,13,786
23807,C10474,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,63936000.0,0,0,0,1,0,1,0,0,1,1,0,740 days 00:00:00,13,740
23810,C10488,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,193,179.0,0,179.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00,13,0
23813,C10523,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,172,32.0,0,32.0,3805200.0,0,0,0,0,0,0,0,0,1,0,0,44 days 01:00:00,13,44
23814,C10524,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,172,32.0,0,32.0,4669200.0,0,0,0,0,0,0,0,0,1,0,0,54 days 01:00:00,13,54
23815,C10525,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,172,32.0,0,32.0,5187600.0,0,0,0,0,0,0,0,0,1,0,0,60 days 01:00:00,13,60
23836,C10763,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,39913200.0,0,0,0,1,0,1,0,0,1,1,0,461 days 23:00:00,13,461
23838,C10798,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,38703600.0,0,0,0,1,0,1,0,0,1,1,0,447 days 23:00:00,13,447
23839,C10808,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,37.56,39135600.0,0,0,0,1,0,1,0,0,1,1,0,452 days 23:00:00,13,452
23840,C10811,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,38098800.0,0,0,0,1,0,1,0,0,1,1,0,440 days 23:00:00,13,440
23841,C10822,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,180,0.0,0,62.59,38703600.0,0,0,0,1,0,1,0,0,1,1,0,447 days 23:00:00,13,447
23843,C10825,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,37839600.0,0,0,0,1,0,1,0,0,1,1,0,437 days 23:00:00,13,437
23844,C10834,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,70498800.0,0,0,0,1,0,1,0,0,1,1,0,815 days 23:00:00,13,815
23847,C10850,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,32486400.0,0,0,0,1,0,1,0,0,1,1,0,376 days 00:00:00,13,376
23850,C10860,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,69462000.0,0,0,0,1,0,1,0,0,1,1,0,803 days 23:00:00,13,803
23851,C10864,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,37234800.0,0,0,0,1,0,1,0,0,1,1,0,430 days 23:00:00,13,430
23854,C10875,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,37.56,35679600.0,0,0,0,1,0,1,0,0,1,1,0,412 days 23:00:00,13,412
23858,C10882,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,37148400.0,0,0,0,1,0,1,0,0,1,1,0,429 days 23:00:00,13,429
23861,C10906,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,34815600.0,0,0,0,1,0,1,0,0,1,1,0,402 days 23:00:00,13,402
23862,C10918,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,36802800.0,0,0,0,1,0,1,0,0,1,1,0,425 days 23:00:00,13,425
23863,C10919,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,36802800.0,0,0,0,1,0,1,0,0,1,1,0,425 days 23:00:00,13,425
23867,C10933,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,68511600.0,0,0,0,1,0,1,0,0,1,1,0,792 days 23:00:00,13,792
23868,C10937,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,190,0.0,0,37.56,36111600.0,0,0,0,1,0,1,0,0,1,1,0,417 days 23:00:00,13,417
23869,C10940,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,35593200.0,0,0,0,1,0,1,0,0,1,1,0,411 days 23:00:00,13,411
23870,C10941,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,35420400.0,0,0,0,1,0,1,0,0,1,1,0,409 days 23:00:00,13,409
23872,C10950,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,33951600.0,0,0,0,1,0,1,0,0,1,1,0,392 days 23:00:00,13,392
23875,C10959,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,34297200.0,0,0,0,1,0,1,0,0,1,1,0,396 days 23:00:00,13,396
23876,C10968,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,32400000.0,0,0,0,1,0,1,0,0,1,1,0,375 days 00:00:00,13,375
23877,C10970,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,172,0.0,0,62.59,33001200.0,0,0,0,1,0,1,0,0,1,1,0,381 days 23:00:00,13,381
