,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,cluster_id,days
25503,C15862,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,142,0.0,10,688.27,6307200.0,0,1,0,1,0,1,0,0,1,1,0,73 days 00:00:00,12,73
26364,C18526,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,148,0.0,10,275.0,29120400.0,0,0,0,1,0,1,0,0,1,1,0,337 days 01:00:00,12,337
26370,C18537,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,148,0.0,10,275.0,92707200.0,0,0,0,1,0,1,0,0,1,1,0,1073 days 00:00:00,12,1073
26440,C18711,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,148,0.0,10,275.0,85104000.0,0,1,1,1,1,1,1,0,1,1,0,985 days 00:00:00,12,985
27867,C22435,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,189,0.0,10,0.0,8467200.0,0,0,0,0,0,0,0,0,1,0,0,98 days 00:00:00,12,98
85221,S123951,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,148,0.0,10,285.0,49762800.0,0,1,0,1,0,1,0,0,1,1,0,575 days 23:00:00,12,575
88179,S129550,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,148,0.0,10,143.0,8384400.0,0,0,0,0,0,0,0,0,1,0,0,97 days 01:00:00,12,97
107699,S166861,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,191,0.0,8,154.0,3456000.0,0,0,0,0,0,0,0,0,1,0,0,40 days 00:00:00,12,40
108132,S167738,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,191,0.0,8,306.5,8035200.0,0,1,0,1,0,1,0,0,1,1,0,93 days 00:00:00,12,93
109826,S170934,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,191,0.0,8,306.5,54777600.0,0,0,0,1,0,1,0,0,1,1,0,634 days 00:00:00,12,634
109895,S171086,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,191,321.5,8,306.5,37238400.0,1,0,0,1,0,1,0,0,1,1,0,431 days 00:00:00,12,431
110040,S171369,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,191,0.0,8,306.5,13741200.0,0,1,0,1,0,1,0,0,1,1,0,159 days 01:00:00,12,159
110052,S171388,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,191,0.0,8,306.5,11322000.0,0,1,0,1,0,1,0,0,1,1,0,131 days 01:00:00,12,131
110089,S171447,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,191,0.0,8,306.5,16419600.0,0,1,0,1,0,1,0,0,1,1,0,190 days 01:00:00,12,190
110313,S171871,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,191,331.5,8,306.5,35164800.0,0,0,0,1,0,1,0,0,1,1,0,407 days 00:00:00,12,407
111527,S174215,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,191,0.0,8,306.5,53222400.0,0,0,0,1,0,1,0,0,1,1,0,616 days 00:00:00,12,616
111529,S174218,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,191,0.0,8,306.5,53136000.0,0,0,0,1,0,1,0,0,1,1,0,615 days 00:00:00,12,615
112093,S175379,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,191,321.5,8,306.5,32140800.0,1,0,0,1,0,1,0,0,1,1,0,372 days 00:00:00,12,372
112094,S175380,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,191,0.0,8,154.0,7952400.0,0,0,0,0,0,0,0,0,1,0,0,92 days 01:00:00,12,92
