,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
1,Application_1691306052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,530018.2249999046,1,6 days 03:13:38,20,6
4,Application_828200680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,2743216.489000082,1,31 days 18:00:16,20,31
7,Application_1878239836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,849326.5870001316,1,9 days 19:55:27,20,9
14,Application_180547487,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,935552.9379999638,1,10 days 19:52:33,20,10
24,Application_546206358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,780151.5920000076,1,9 days 00:42:32,20,9
36,Application_2049529862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,1384825.760999918,1,16 days 00:40:26,20,16
48,Application_470922426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,1724583.7559998035,1,19 days 23:03:04,20,19
57,Application_2113276114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7500.0,1698339.114000082,1,19 days 15:45:39,20,19
65,Application_1530322400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,2915158.3310000896,1,33 days 17:45:58,20,33
82,Application_798605556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,761059.4589998722,1,8 days 19:24:19,20,8
