,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
129,Application_1252717204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20600.0,5536474.986000061,4,64 days 01:54:35,24,64,46933.30328327802,136106528.03171033
573,Application_61478633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,5710525.619999886,4,66 days 02:15:26,24,66,46933.30328327802,136106528.03171033
3471,Application_1883905628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20500.0,7200351.907000065,3,83 days 08:05:52,24,83,46933.30328327802,136106528.03171033
6949,Application_1219772874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23500.0,7216437.563000202,3,83 days 12:33:58,24,83,46933.30328327802,136106528.03171033
8373,Application_1171453988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21000.0,8156118.398000002,2,94 days 09:35:18,24,94,46933.30328327802,136106528.03171033
8618,Application_964418796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16000.0,5790562.028000116,5,67 days 00:29:22,24,67,46933.30328327802,136106528.03171033
9430,Application_1875888758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,11583640.323000193,9,134 days 01:40:40,24,134,46933.30328327802,136106528.03171033
10309,Application_1970421092,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36500.0,5689752.9960000515,3,65 days 20:29:13,24,65,46933.30328327802,136106528.03171033
10456,Application_475784027,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12000.0,5822017.641000032,3,67 days 09:13:38,24,67,46933.30328327802,136106528.03171033
11335,Application_412734994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,5607223.153000116,2,64 days 21:33:43,24,64,46933.30328327802,136106528.03171033
