,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
719,Application_1086190151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,6281365.0990002155,3,72 days 16:49:25,6,72,56618.54469214536,62280387.55380176
3533,Application_1108271369,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25000.0,8080018.330000162,3,93 days 12:26:58,6,93,56618.54469214536,62280387.55380176
11356,Application_1427290652,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10000.0,5765132.641000032,3,66 days 17:25:33,6,66,56618.54469214536,62280387.55380176
12473,Application_496184615,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,51000.0,6201091.731000185,2,71 days 18:31:32,6,71,56618.54469214536,62280387.55380176
12481,Application_614682130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,51000.0,8695537.836999893,2,100 days 15:25:38,6,100,56618.54469214536,62280387.55380176
13824,Application_1431899834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,6807103.637000084,4,78 days 18:51:44,6,78,56618.54469214536,62280387.55380176
14585,Application_706230820,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25000.0,12310865.694000006,1,142 days 11:41:06,6,142,56618.54469214536,62280387.55380176
16360,Application_426809591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,9171644.148000002,2,106 days 03:40:44,6,106,56618.54469214536,62280387.55380176
24780,Application_1707866152,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,74484.0,7255969.855999947,2,83 days 23:32:50,6,83,56618.54469214536,62280387.55380176
24805,Application_866670658,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,5954011.345000029,2,68 days 21:53:31,6,68,56618.54469214536,62280387.55380176
26534,Application_655052891,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7000.0,7924492.901000023,5,91 days 17:14:53,6,91,56618.54469214536,62280387.55380176
