,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
40,Application_1474017032,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,1108338.8159999847,2,12 days 19:52:19,9,12
41,Application_1397856354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,2829957.6289999485,1,32 days 18:05:58,9,32
43,Application_980495316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42000.0,2330221.835000038,1,26 days 23:17:02,9,26
44,Application_2035768049,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,1126621.726999998,1,13 days 00:57:02,9,13
118,Application_803879893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10000.0,950214.6570000648,1,10 days 23:56:55,9,10
126,Application_1674281629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,269119.95700001717,2,3 days 02:45:20,9,3
170,Application_1947668470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20000.0,1192297.8059999943,1,13 days 19:11:38,9,13
172,Application_2070389081,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,836048.51699996,2,9 days 16:14:09,9,9
201,Application_1499869275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,3678320.0250000954,1,42 days 13:45:20,9,42
238,Application_1447851462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23000.0,1292556.6940000057,1,14 days 23:02:37,9,14
336,Application_2039499576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,40000.0,1041895.3949999809,1,12 days 01:24:55,9,12
339,Application_466958327,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25000.0,704532.6019999981,1,8 days 03:42:13,9,8
368,Application_1403474196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25000.0,1972504.9809999466,1,22 days 19:55:05,9,22
371,Application_242156921,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,50000.0,1361383.3220000267,1,15 days 18:09:43,9,15
430,Application_220286199,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,518164.9279999733,1,5 days 23:56:05,9,5
447,Application_1692006952,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29000.0,951391.2339999676,1,11 days 00:16:31,9,11
449,Application_994471234,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,611466.3480000496,1,7 days 01:51:06,9,7
461,Application_1779355171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,1291496.481999874,1,14 days 22:44:56,9,14
509,Application_2040345264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42500.0,1199727.4189999104,1,13 days 21:15:27,9,13
537,Application_822422484,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25000.0,858935.0059998035,1,9 days 22:35:35,9,9
593,Application_1465521095,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,767646.0710000992,2,8 days 21:14:06,9,8
652,Application_1837644768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,50000.0,2760033.9500000477,1,31 days 22:40:34,9,31
661,Application_1508092841,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,685484.236000061,1,7 days 22:24:44,9,7
662,Application_282373685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14000.0,2843231.875,1,32 days 21:47:12,9,32
668,Application_1829687885,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,19000.0,1222264.14199996,1,14 days 03:31:04,9,14
680,Application_709001855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20000.0,2425931.1360001564,2,28 days 01:52:11,9,28
686,Application_249658126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,19500.0,2772234.4440000057,2,32 days 02:03:54,9,32
