,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
80,Application_1947648225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22000.0,6978001.513999939,3,80 days 18:20:02,0,80,40512.11466313284,141792338.67891946
2040,Application_763648038,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,6346066.930000067,4,73 days 10:47:47,0,73,40512.11466313284,141792338.67891946
2052,Application_1062630788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,7001559.350999832,4,81 days 00:52:39,0,81,40512.11466313284,141792338.67891946
2748,Application_1454446491,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5655812.736000061,3,65 days 11:03:33,0,65,40512.11466313284,141792338.67891946
3743,Application_554417928,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,5526086.788000107,2,63 days 23:01:27,0,63,40512.11466313284,141792338.67891946
3864,Application_901986473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,5483649.092000008,3,63 days 11:14:09,0,63,40512.11466313284,141792338.67891946
4042,Application_445916015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5720715.860999823,4,66 days 05:05:16,0,66,40512.11466313284,141792338.67891946
4154,Application_1926117841,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5512624.503000021,2,63 days 19:17:05,0,63,40512.11466313284,141792338.67891946
4551,Application_1452039492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16700.0,5511980.048000097,4,63 days 19:06:20,0,63,40512.11466313284,141792338.67891946
5420,Application_1894510820,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12000.0,5854722.849999905,4,67 days 18:18:43,0,67,40512.11466313284,141792338.67891946
8114,Application_152677835,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5916713.631000042,3,68 days 11:31:54,0,68,40512.11466313284,141792338.67891946
8346,Application_580307478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,6064987.539000034,2,70 days 04:43:08,0,70,40512.11466313284,141792338.67891946
8751,Application_1048806756,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,5579739.303999901,4,64 days 13:55:39,0,64,40512.11466313284,141792338.67891946
10129,Application_1173137665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5419404.5,2,62 days 17:23:24,0,62,40512.11466313284,141792338.67891946
10560,Application_1930466664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5420463.085999966,2,62 days 17:41:03,0,62,40512.11466313284,141792338.67891946
11899,Application_1494615660,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,6886162.664000034,3,79 days 16:49:23,0,79,40512.11466313284,141792338.67891946
11932,Application_978933800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,6209291.440999985,3,71 days 20:48:11,0,71,40512.11466313284,141792338.67891946
14561,Application_1277392889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,11985631.013999939,2,138 days 17:20:31,0,138,40512.11466313284,141792338.67891946
15595,Application_549914318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,60000.0,7698164.196999788,3,89 days 02:22:44,0,89,40512.11466313284,141792338.67891946
