,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
30,Application_2012588584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2158234.3989999294,2,24 days 23:30:34,5,24
109,Application_1660185664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4264397.939999819,1,49 days 08:33:18,5,49
111,Application_1446096185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1557482.3759999275,2,18 days 00:38:02,5,18
124,Application_927205634,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2415917.5720000267,1,27 days 23:05:18,5,27
132,Application_2108937169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1545162.7940001488,1,17 days 21:12:43,5,17
153,Application_1432907447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1539718.1610000134,1,17 days 19:41:58,5,17
174,Application_1159653941,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2649428.4279999733,1,30 days 15:57:08,5,30
176,Application_1616009132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1524261.1210000515,1,17 days 15:24:21,5,17
177,Application_53530491,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,838813.0950000286,1,9 days 17:00:13,5,9
195,Application_485131054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1195455.2829999924,2,13 days 20:04:15,5,13
236,Application_438518989,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1457893.3830001354,2,16 days 20:58:13,5,16
274,Application_866541745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4982959.61500001,4,57 days 16:09:20,5,57
327,Application_2005183817,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,530921.0369999409,2,6 days 03:28:41,5,6
328,Application_606090913,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2675031.8849999905,1,30 days 23:03:52,5,30
335,Application_162342266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4055641.638999939,1,46 days 22:34:02,5,46
342,Application_1508103415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1661136.333000183,1,19 days 05:25:36,5,19
348,Application_807098596,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,693112.3269999027,1,8 days 00:31:52,5,8
370,Application_1014301064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1276274.5329999924,1,14 days 18:31:15,5,14
374,Application_443070493,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4636557.1259999275,2,53 days 15:55:57,5,53
376,Application_1649139732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2648874.7799999714,1,30 days 15:47:55,5,30
378,Application_341998174,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2646847.898000002,1,30 days 15:14:08,5,30
397,Application_1771304108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,731704.5750000477,1,8 days 11:15:05,5,8
427,Application_2139889803,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1656102.5179998875,1,19 days 04:01:43,5,19
432,Application_919767326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2761880.8059999943,1,31 days 23:11:21,5,31
436,Application_402170266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2659675.128000021,1,30 days 18:47:55,5,30
438,Application_1296151288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1302412.2790000439,1,15 days 01:46:52,5,15
441,Application_1089454,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2148368.4279999733,2,24 days 20:46:08,5,24
450,Application_1902262189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19000.0,1880145.3009998798,1,21 days 18:15:45,5,21
452,Application_1468021532,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15000.0,932462.9730000496,2,10 days 19:01:03,5,10
463,Application_1060570579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2645854.447999954,1,30 days 14:57:34,5,30
465,Application_669100042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,604683.0039999485,1,6 days 23:58:03,5,6
471,Application_1833979489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,572238.134000063,2,6 days 14:57:18,5,6
475,Application_368633868,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10000.0,1197836.2880001068,1,13 days 20:43:56,5,13
498,Application_1848036697,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,250000.0,1228803.2660000324,1,14 days 05:20:03,5,14
525,Application_1962066192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,3866029.3880000114,2,44 days 17:53:49,5,44
536,Application_529938699,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4467622.398999929,2,51 days 17:00:22,5,51
539,Application_1812038441,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,417146.36199998856,1,4 days 19:52:26,5,4
655,Application_1563935994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20000.0,1215928.3499999046,1,14 days 01:45:28,5,14
670,Application_882030529,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2608291.717999935,1,30 days 04:31:32,5,30
675,Application_1436780800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,3011125.5720000267,2,34 days 20:25:26,5,34
676,Application_680031808,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,346501.2799999714,2,4 days 00:15:01,5,4
690,Application_1370564184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,950094.115999937,1,10 days 23:54:54,5,10
696,Application_1560596102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2658109.2879998684,1,30 days 18:21:49,5,30
787,Application_1353914944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,844630.4100000858,1,9 days 18:37:10,5,9
797,Application_123987545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2932529.6289999485,3,33 days 22:35:30,5,33
801,Application_902019603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4115423.5639998913,3,47 days 15:10:24,5,47
854,Application_1467707739,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,766768.1539998055,1,8 days 20:59:28,5,8
858,Application_974860050,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1140898.5750000477,2,13 days 04:54:59,5,13
869,Application_393296211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,771179.8459999561,1,8 days 22:13:00,5,8
876,Application_1333957806,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1016895.8699998856,1,11 days 18:28:16,5,11
931,Application_1705432175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,677214.8109998703,1,7 days 20:06:55,5,7
944,Application_1488592654,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,3616567.995000124,1,41 days 20:36:08,5,41
952,Application_1732998095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,662414.9790000916,1,7 days 16:00:15,5,7
955,Application_1569845993,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1113368.9729998112,1,12 days 21:16:09,5,12
967,Application_1691541069,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,652349.8759999275,1,7 days 13:12:30,5,7
975,Application_54116737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1091697.1960000992,1,12 days 15:14:57,5,12
1014,Application_541114701,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,955946.2899999619,2,11 days 01:32:26,5,11
1029,Application_1195564156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,3859419.6919999123,2,44 days 16:03:40,5,44
1038,Application_952744464,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2148192.4450001717,1,24 days 20:43:12,5,24
1054,Application_1639687553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2900226.4500000477,2,33 days 13:37:06,5,33
