,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
69,Application_1405679737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,6857425.33100009,1,79 days 08:50:25,3,79,65954.49413662484,85740839.65091738
4535,Application_1450091917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,11768547.933000088,1,136 days 05:02:28,3,136,65954.49413662484,85740839.65091738
9484,Application_1031629108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,14521926.712000132,1,168 days 01:52:07,3,168,65954.49413662484,85740839.65091738
10921,Application_228960832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,6991456.689999819,1,80 days 22:04:17,3,80,65954.49413662484,85740839.65091738
11990,Application_845569937,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8000.0,6580521.09800005,1,76 days 03:55:21,3,76,65954.49413662484,85740839.65091738
12023,Application_1766550589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18000.0,9853755.475000143,1,114 days 01:09:15,3,114,65954.49413662484,85740839.65091738
12460,Application_394216761,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9684054.07799983,1,112 days 02:00:54,3,112,65954.49413662484,85740839.65091738
14583,Application_1068646658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,9790521.305000067,1,113 days 07:35:21,3,113,65954.49413662484,85740839.65091738
14741,Application_317782907,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,7547285.621999979,1,87 days 08:28:06,3,87,65954.49413662484,85740839.65091738
14977,Application_675694882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,7124246.477999926,1,82 days 10:57:26,3,82,65954.49413662484,85740839.65091738
18209,Application_1628518449,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16000.0,5788267.9960000515,1,66 days 23:51:08,3,66,65954.49413662484,85740839.65091738
20698,Application_1088555315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11000.0,5867277.276000023,1,67 days 21:47:57,3,67,65954.49413662484,85740839.65091738
22291,Application_574500271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17500.0,5685427.174999952,1,65 days 19:17:07,3,65,65954.49413662484,85740839.65091738
