,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
3172,Application_2041082181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,10004342.626000166,1,115 days 18:59:03,2,115,42887.034208137484,72907950.47715005
3834,Application_238099968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17500.0,5605793.164000034,1,64 days 21:09:53,2,64,42887.034208137484,72907950.47715005
3905,Application_818003570,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37000.0,6107779.27699995,1,70 days 16:36:19,2,70,42887.034208137484,72907950.47715005
7081,Application_773870683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18000.0,5815898.108999968,1,67 days 07:31:38,2,67,42887.034208137484,72907950.47715005
9014,Application_145614122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,5355229.489000082,1,61 days 23:33:49,2,61,42887.034208137484,72907950.47715005
12564,Application_1836635701,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,5435729.034000158,1,62 days 21:55:29,2,62,42887.034208137484,72907950.47715005
13223,Application_1931200333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,5394511.430000067,1,62 days 10:28:31,2,62,42887.034208137484,72907950.47715005
13236,Application_1044965535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,5376842.338999987,1,62 days 05:34:02,2,62,42887.034208137484,72907950.47715005
16115,Application_739582920,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22000.0,5670911.531000137,1,65 days 15:15:12,2,65,42887.034208137484,72907950.47715005
17473,Application_11949550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19000.0,7568768.674000025,1,87 days 14:26:09,2,87,42887.034208137484,72907950.47715005
19838,Application_650133925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,5257661.95299983,1,60 days 20:27:42,2,60,42887.034208137484,72907950.47715005
20883,Application_760306173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6000.0,6020857.565000057,1,69 days 16:27:38,2,69,42887.034208137484,72907950.47715005
21077,Application_932158358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38500.0,6482415.780999899,1,75 days 00:40:16,2,75,42887.034208137484,72907950.47715005
22456,Application_1767608602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,5411898.289000034,1,62 days 15:18:18,2,62,42887.034208137484,72907950.47715005
23668,Application_879553786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,5244087.105000019,1,60 days 16:41:27,2,60,42887.034208137484,72907950.47715005
25712,Application_1259391556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6300.0,8453308.757999897,1,97 days 20:08:29,2,97,42887.034208137484,72907950.47715005
27910,Application_918932747,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9000.0,5533326.255000114,1,64 days 01:02:06,2,64,42887.034208137484,72907950.47715005
