,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
138,Application_1128910355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4662934.809999943,2,53 days 23:15:35,1,53,33662.51012579186,60592481.10142535
158,Application_347787380,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26000.0,3707063.3639998436,2,42 days 21:44:23,1,42,33662.51012579186,60592481.10142535
3971,Application_689174769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16000.0,3608819.1689999104,1,41 days 18:26:59,1,41,33662.51012579186,60592481.10142535
4533,Application_750631596,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,32000.0,3876615.306999922,2,44 days 20:50:15,1,44,33662.51012579186,60592481.10142535
6359,Application_160947143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13000.0,3783891.773000002,1,43 days 19:04:52,1,43,33662.51012579186,60592481.10142535
7392,Application_1435427970,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3518207.487000227,1,40 days 17:16:47,1,40,33662.51012579186,60592481.10142535
8956,Application_22464644,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4062450.6959998608,1,47 days 00:27:31,1,47,33662.51012579186,60592481.10142535
10563,Application_341308614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4738955.605999947,2,54 days 20:22:36,1,54,33662.51012579186,60592481.10142535
10817,Application_1487325229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25000.0,7257263.638999939,2,83 days 23:54:24,1,83,33662.51012579186,60592481.10142535
11514,Application_1834532038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0,3537997.6670000553,2,40 days 22:46:38,1,40,33662.51012579186,60592481.10142535
11783,Application_1941905945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50000.0,4554342.962000132,2,52 days 17:05:43,1,52,33662.51012579186,60592481.10142535
11926,Application_1801376991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,4234829.260999918,1,49 days 00:20:29,1,49,33662.51012579186,60592481.10142535
14459,Application_188387122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3825163.6949999332,2,44 days 06:32:44,1,44,33662.51012579186,60592481.10142535
15719,Application_399187920,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,75000.0,4063297.447999954,2,47 days 00:41:37,1,47,33662.51012579186,60592481.10142535
18547,Application_1839367200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50000.0,5366264.6319999695,1,62 days 02:37:45,1,62,33662.51012579186,60592481.10142535
19671,Application_1838182698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,10938907.515000105,3,126 days 14:35:08,1,126,33662.51012579186,60592481.10142535
26234,Application_1690391662,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7900.0,5102851.620000124,2,59 days 01:27:32,1,59,33662.51012579186,60592481.10142535
27687,Application_746672835,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000.0,3809357.5390000343,2,44 days 02:09:18,1,44,33662.51012579186,60592481.10142535
