,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
444,Application_385432676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,6991027.407000065,1,80 days 21:57:07,20,80,52019.603696140475,93635279.828372
1477,Application_552484031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,5519373.906000137,1,63 days 21:09:34,20,63,52019.603696140475,93635279.828372
2342,Application_484277152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,5673827.563000202,1,65 days 16:03:48,20,65,52019.603696140475,93635279.828372
3097,Application_1663014149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,6175748.829999924,1,71 days 11:29:09,20,71,52019.603696140475,93635279.828372
8254,Application_83584896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,8340032.286999941,1,96 days 12:40:32,20,96,52019.603696140475,93635279.828372
12167,Application_1806060525,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,8791678.332999945,1,101 days 18:07:58,20,101,52019.603696140475,93635279.828372
12226,Application_1285009477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5520637.772000074,1,63 days 21:30:38,20,63,52019.603696140475,93635279.828372
12817,Application_1325593620,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21000.0,9165097.39899993,1,106 days 01:51:37,20,106,52019.603696140475,93635279.828372
14490,Application_323553281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,9931204.28699994,1,114 days 22:40:04,20,114,52019.603696140475,93635279.828372
15064,Application_1618112757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16000.0,6613462.305999994,1,76 days 13:04:22,20,76,52019.603696140475,93635279.828372
15126,Application_282538124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,8819510.733999968,1,102 days 01:51:51,20,102,52019.603696140475,93635279.828372
16098,Application_899377360,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,5510151.703000069,1,63 days 18:35:52,20,63,52019.603696140475,93635279.828372
16339,Application_1419380655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5249382.030999899,1,60 days 18:09:42,20,60,52019.603696140475,93635279.828372
16471,Application_65007766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,7183463.713000059,1,83 days 03:24:24,20,83,52019.603696140475,93635279.828372
18850,Application_185981374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,6951393.6319999695,1,80 days 10:56:34,20,80,52019.603696140475,93635279.828372
24160,Application_1667989141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,8992459.715999842,1,104 days 01:54:20,20,104,52019.603696140475,93635279.828372
24393,Application_1906109703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5680298.458999872,1,65 days 17:51:38,20,65,52019.603696140475,93635279.828372
28117,Application_1811563411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,5670645.509000063,1,65 days 15:10:46,20,65,52019.603696140475,93635279.828372
