,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
3,Application_1746793196,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,2331837.394999981,2,26 days 23:43:57,21,26
22,Application_319587802,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7000.0,2019872.614000082,3,23 days 09:04:33,21,23
25,Application_196483749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,5003337.792000055,4,57 days 21:48:58,21,57
27,Application_1553362978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12000.0,5002442.61500001,3,57 days 21:34:03,21,57
29,Application_931862671,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,2624572.1599998474,3,30 days 09:02:52,21,30
31,Application_1825972191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,3991388.214000225,3,46 days 04:43:08,21,46
34,Application_2015287405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,4995258.6210000515,2,57 days 19:34:19,21,57
35,Application_1193723578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20000.0,1050250.0390000343,2,12 days 03:44:10,21,12
37,Application_1699757505,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,859859.7179999352,3,9 days 22:51:00,21,9
49,Application_1461440233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11000.0,4983132.657000065,2,57 days 16:12:13,21,57
58,Application_1603124379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13000.0,840154.4379999638,2,9 days 17:22:34,21,9
63,Application_340403559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17000.0,4964091.222000122,2,57 days 10:54:51,21,57
64,Application_1825104006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,4963270.542000055,5,57 days 10:41:11,21,57
68,Application_1767756144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,1064101.226999998,2,12 days 07:35:01,21,12
74,Application_505474597,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6750.0,883609.1679999828,3,10 days 05:26:49,21,10
90,Application_2068443797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13500.0,4882331.434000015,2,56 days 12:12:11,21,56
94,Application_807916303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12000.0,5166925.821000099,2,59 days 19:15:26,21,59
96,Application_1876456626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10750.0,1010854.7630000114,3,11 days 16:47:35,21,11
98,Application_813133375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,33800.0,843223.9460000992,3,9 days 18:13:44,21,9
99,Application_268676496,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5500.0,929926.8029999733,4,10 days 18:18:47,21,10
101,Application_1723779444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,4873902.852999926,2,56 days 09:51:43,21,56
113,Application_952532843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9000.0,4833252.092000008,2,55 days 22:34:12,21,55
155,Application_1096831814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11800.0,356639.09700012207,2,4 days 03:03:59,21,4
157,Application_709929024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,693835.7679998875,2,8 days 00:43:56,21,8
160,Application_1365381023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,4815085.6100001335,2,55 days 17:31:26,21,55
173,Application_864903752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16000.0,753534.859000206,2,8 days 17:18:55,21,8
178,Application_1953406738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,4806436.864000082,2,55 days 15:07:17,21,55
206,Application_1854801140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8750.0,4794227.294999838,4,55 days 11:43:47,21,55
207,Application_2078020265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,752671.6619999409,2,8 days 17:04:32,21,8
224,Application_1975617123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17500.0,926711.4719998837,2,10 days 17:25:11,21,10
232,Application_346636726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,716375.3280000687,2,8 days 06:59:35,21,8
249,Application_1484851617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7500.0,2662803.7759997845,2,30 days 19:40:04,21,30
256,Application_722397148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14500.0,1218717.8299999237,4,14 days 02:31:58,21,14
258,Application_1868808301,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,769400.1399998665,2,8 days 21:43:20,21,8
