,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
46,Application_821425679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000.0,783624.875,1,9 days 01:40:25
53,Application_2055987002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000.0,779284.114000082,1,9 days 00:28:04
117,Application_1696031128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20000.0,623912.0780000687,1,7 days 05:18:32
127,Application_299986859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30000.0,705183.1650002003,1,8 days 03:53:03
137,Application_37839400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25000.0,2604957.3420000076,1,30 days 03:35:57
169,Application_220402598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18000.0,2737554.8619999886,1,31 days 16:25:55
190,Application_1130151790,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27000.0,2639498.0269999504,1,30 days 13:11:38
240,Application_2118101879,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12000.0,529914.0629999638,1,6 days 03:11:54
243,Application_29490720,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25500.0,1294599.1180000305,1,14 days 23:36:39
296,Application_911291915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25000.0,2727718.80099988,1,31 days 13:41:59
332,Application_1426271838,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,35000.0,803304.9040000439,1,9 days 07:08:25
377,Application_289811958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000.0,1290798.76699996,1,14 days 22:33:19
387,Application_1853330214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,30000.0,763314.3940000534,1,8 days 20:01:54
446,Application_1274270315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16500.0,1535823.3370001316,1,17 days 18:37:03
524,Application_1164977817,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12500.0,870837.0329999924,1,10 days 01:53:57
656,Application_818693455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21000.0,621662.367000103,1,7 days 04:41:02
665,Application_1015478096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12500.0,2756162.26699996,1,31 days 21:36:02
669,Application_1058763045,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50000.0,689220.6849999428,1,7 days 23:27:01
685,Application_1122832658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25000.0,702100.0199999809,1,8 days 03:01:40
730,Application_1910304791,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000.0,651221.524999857,1,7 days 12:53:42
765,Application_1657807370,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27750.0,602982.1239998341,1,6 days 23:29:42
766,Application_1807260077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000.0,713128.3669998646,1,8 days 06:05:28
770,Application_536057092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15000.0,698546.3940000534,1,8 days 02:02:26
