,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,Surprisingness,Effectiveness
125,Application_484278024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7000.0,3996561.67599988,1,46 days 06:09:22,34604.41012177726,69208793.6841984
2116,Application_1102547176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23000.0,3944486.7890000343,1,45 days 15:41:27,34604.41012177726,69208793.6841984
3769,Application_441004081,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,4118680.7860000134,1,47 days 16:04:41,34604.41012177726,69208793.6841984
4759,Application_1512465297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15000.0,4120490.473999977,1,47 days 16:34:50,34604.41012177726,69208793.6841984
4868,Application_938227559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,5524497.269999981,1,63 days 22:34:57,34604.41012177726,69208793.6841984
5091,Application_715212713,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10000.0,5172872.733999968,1,59 days 20:54:33,34604.41012177726,69208793.6841984
8514,Application_636848501,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,7856872.070999861,1,90 days 22:27:52,34604.41012177726,69208793.6841984
8728,Application_1009443818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13000.0,7594492.152000189,1,87 days 21:34:52,34604.41012177726,69208793.6841984
10847,Application_658862689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8000.0,4142056.2219998837,1,47 days 22:34:16,34604.41012177726,69208793.6841984
14225,Application_665388395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,6407899.315000057,1,74 days 03:58:19,34604.41012177726,69208793.6841984
15106,Application_1479772524,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25000.0,6387039.092999935,1,73 days 22:10:39,34604.41012177726,69208793.6841984
16745,Application_1186596204,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16000.0,4466028.4990000725,1,51 days 16:33:48,34604.41012177726,69208793.6841984
19147,Application_669990222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8000.0,4308021.924000025,1,49 days 20:40:22,34604.41012177726,69208793.6841984
20322,Application_1666700356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6000.0,4310538.36500001,1,49 days 21:22:18,34604.41012177726,69208793.6841984
20434,Application_1348744079,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10000.0,5097042.7649998665,1,58 days 23:50:43,34604.41012177726,69208793.6841984
22301,Application_1975819852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,4336411.288000107,1,50 days 04:33:31,34604.41012177726,69208793.6841984
27756,Application_1460401130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28000.0,3927864.6920001507,1,45 days 11:04:25,34604.41012177726,69208793.6841984
28241,Application_2115489972,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,16000.0,4414452.2569999695,1,51 days 02:14:12,34604.41012177726,69208793.6841984
28455,Application_1665277555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21000.0,4048316.583999872,1,46 days 20:31:57,34604.41012177726,69208793.6841984
29560,Application_1928513473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,4165344.6800000668,1,48 days 05:02:25,34604.41012177726,69208793.6841984
