,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
2,Application_428409768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1107636.2909998894,2,12 days 19:40:36
5,Application_1085880569,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13000.0,5075728.960000038,2,58 days 17:55:29
28,Application_1197857445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,4830167.84800005,2,55 days 21:42:48
30,Application_2012588584,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2158234.3989999294,2,24 days 23:30:34
40,Application_1474017032,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,1108338.8159999847,2,12 days 19:52:19
55,Application_1234535641,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8000.0,4977508.802999973,2,57 days 14:38:29
66,Application_593655901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4958146.121999979,2,57 days 09:15:46
70,Application_446334558,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7500.0,2933430.367999792,2,33 days 22:50:30
72,Application_1300843234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,784423.8870000839,2,9 days 01:53:44
75,Application_1765204099,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8300.0,883907.4200000763,2,10 days 05:31:47
77,Application_1448214642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8000.0,1051522.3159999847,2,12 days 04:05:22
79,Application_1845547664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9000.0,873835.2939999104,2,10 days 02:43:55
89,Application_930742634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,2759322.850000143,2,31 days 22:28:43
91,Application_354702724,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,905820.6930000782,2,10 days 11:37:01
103,Application_1754646859,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,4873154.695000172,2,56 days 09:39:15
108,Application_774787486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,2186858.242000103,2,25 days 07:27:38
111,Application_1446096185,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1557482.3759999275,2,18 days 00:38:02
116,Application_1962860870,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6000.0,611657.2649998665,2,7 days 01:54:17
120,Application_1250134245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4831558.1289999485,2,55 days 22:05:58
141,Application_1859638703,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,708484.9779999256,2,8 days 04:48:05
147,Application_1538441067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10500.0,2061163.7879998684,2,23 days 20:32:44
156,Application_1068218912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7500.0,4817355.118999958,2,55 days 18:09:15
