,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,Surprisingness,Effectiveness
444,Application_385432676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,6991027.407000065,1,80 days 21:57:07,57666.08532205503,265263974.9938498
1477,Application_552484031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,5519373.906000137,1,63 days 21:09:34,57666.08532205503,265263974.9938498
2342,Application_484277152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,5673827.563000202,1,65 days 16:03:48,57666.08532205503,265263974.9938498
2462,Application_2011518740,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,24716658.654000044,1,286 days 01:44:19,57666.08532205503,265263974.9938498
3097,Application_1663014149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,6175748.829999924,1,71 days 11:29:09,57666.08532205503,265263974.9938498
3172,Application_2041082181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,10004342.626000166,1,115 days 18:59:03,57666.08532205503,265263974.9938498
3834,Application_238099968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17500.0,5605793.164000034,1,64 days 21:09:53,57666.08532205503,265263974.9938498
3905,Application_818003570,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37000.0,6107779.27699995,1,70 days 16:36:19,57666.08532205503,265263974.9938498
7081,Application_773870683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18000.0,5815898.108999968,1,67 days 07:31:38,57666.08532205503,265263974.9938498
8254,Application_83584896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,8340032.286999941,1,96 days 12:40:32,57666.08532205503,265263974.9938498
8492,Application_2142045957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50000.0,22454261.98999977,1,259 days 21:17:42,57666.08532205503,265263974.9938498
9014,Application_145614122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,5355229.489000082,1,61 days 23:33:49,57666.08532205503,265263974.9938498
11531,Application_357201241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6386099.303999901,1,73 days 21:54:59,57666.08532205503,265263974.9938498
12167,Application_1806060525,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,8791678.332999945,1,101 days 18:07:58,57666.08532205503,265263974.9938498
12226,Application_1285009477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5520637.772000074,1,63 days 21:30:38,57666.08532205503,265263974.9938498
12564,Application_1836635701,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,5435729.034000158,1,62 days 21:55:29,57666.08532205503,265263974.9938498
12817,Application_1325593620,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21000.0,9165097.39899993,1,106 days 01:51:37,57666.08532205503,265263974.9938498
13223,Application_1931200333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,5394511.430000067,1,62 days 10:28:31,57666.08532205503,265263974.9938498
13236,Application_1044965535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,5376842.338999987,1,62 days 05:34:02,57666.08532205503,265263974.9938498
14490,Application_323553281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,9931204.28699994,1,114 days 22:40:04,57666.08532205503,265263974.9938498
14585,Application_706230820,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25000.0,12310865.694000006,1,142 days 11:41:06,57666.08532205503,265263974.9938498
14600,Application_1283264254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,14607859.828999996,1,169 days 01:44:20,57666.08532205503,265263974.9938498
15064,Application_1618112757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16000.0,6613462.305999994,1,76 days 13:04:22,57666.08532205503,265263974.9938498
15126,Application_282538124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,8819510.733999968,1,102 days 01:51:51,57666.08532205503,265263974.9938498
15389,Application_757181215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,7589951.917999983,1,87 days 20:19:12,57666.08532205503,265263974.9938498
16098,Application_899377360,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,5510151.703000069,1,63 days 18:35:52,57666.08532205503,265263974.9938498
16115,Application_739582920,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22000.0,5670911.531000137,1,65 days 15:15:12,57666.08532205503,265263974.9938498
16339,Application_1419380655,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5249382.030999899,1,60 days 18:09:42,57666.08532205503,265263974.9938498
16471,Application_65007766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,7183463.713000059,1,83 days 03:24:24,57666.08532205503,265263974.9938498
16479,Application_1080224644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10000.0,5343133.167999983,1,61 days 20:12:13,57666.08532205503,265263974.9938498
16627,Application_1607375745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000.0,6887433.182999849,1,79 days 17:10:33,57666.08532205503,265263974.9938498
16932,Application_1292983087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,6204434.038999796,1,71 days 19:27:14,57666.08532205503,265263974.9938498
17473,Application_11949550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19000.0,7568768.674000025,1,87 days 14:26:09,57666.08532205503,265263974.9938498
18678,Application_1048729110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15000.0,5684044.335999966,1,65 days 18:54:04,57666.08532205503,265263974.9938498
18850,Application_185981374,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,6951393.6319999695,1,80 days 10:56:34,57666.08532205503,265263974.9938498
19838,Application_650133925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,5257661.95299983,1,60 days 20:27:42,57666.08532205503,265263974.9938498
20883,Application_760306173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6000.0,6020857.565000057,1,69 days 16:27:38,57666.08532205503,265263974.9938498
21077,Application_932158358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,38500.0,6482415.780999899,1,75 days 00:40:16,57666.08532205503,265263974.9938498
22456,Application_1767608602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,5411898.289000034,1,62 days 15:18:18,57666.08532205503,265263974.9938498
24160,Application_1667989141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,8992459.715999842,1,104 days 01:54:20,57666.08532205503,265263974.9938498
