,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
167,Application_369018038,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2651821.815000057,1,30 days 16:37:02
340,Application_232465255,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,703185.8369998932,1,8 days 03:19:46
355,Application_1979284304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,508236.129999876,1,5 days 21:10:36
478,Application_1506426720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,488651.96700000763,1,5 days 15:44:12
499,Application_1786874274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,25207.335000038147,1,0 days 07:00:07
513,Application_244579239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,942769.126999855,1,10 days 21:52:49
650,Application_693445967,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2083124.1879999638,1,24 days 02:38:44
674,Application_19385579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2175717.019999981,1,25 days 04:21:57
745,Application_687077392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2632206.353000164,1,30 days 11:10:06
866,Application_638536744,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,698526.5659999847,1,8 days 02:02:07
872,Application_323048075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,75450.51600003242,1,0 days 20:57:31
887,Application_627487146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,521297.9049999714,1,6 days 00:48:18
993,Application_1148948732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1753950.6549999714,1,20 days 07:12:31
996,Application_1825891896,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,526650.350000143,1,6 days 02:17:30
1191,Application_95863982,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2754467.2219998837,1,31 days 21:07:47
1216,Application_581353147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1463848.1870000362,1,16 days 22:37:28
1280,Application_1232820241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1224323.5620000362,1,14 days 04:05:24
1311,Application_1660587788,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,850975.1950001717,1,9 days 20:22:55
1328,Application_387378692,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1705418.3240001202,1,19 days 17:43:38
1452,Application_742871702,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,7810.25,1,0 days 02:10:10
1471,Application_1033307487,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1633623.3280000687,1,18 days 21:47:03
1502,Application_75345119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,63748.63499999046,1,0 days 17:42:29
1509,Application_1358464831,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2719891.068000078,1,31 days 11:31:31
1558,Application_996369948,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1020413.248000145,1,11 days 19:26:53
1601,Application_1404994331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,766654.5889999866,1,8 days 20:57:35
1721,Application_322174930,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,847290.98300004,1,9 days 19:21:31
1750,Application_546890434,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,840053.9800000191,1,9 days 17:20:54
1906,Application_132859811,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,426653.59600019455,1,4 days 22:30:54
1926,Application_1519896529,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1116388.4709999561,1,12 days 22:06:28
2089,Application_551059309,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,942555.7109999657,1,10 days 21:49:16
2098,Application_250211561,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1547376.5320000648,1,17 days 21:49:37
2282,Application_996504543,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,3095526.3940000534,1,35 days 19:52:06
2305,Application_1618264715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,590650.6659998894,1,6 days 20:04:11
2409,Application_891145200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,155839.44799995422,1,1 days 19:17:19
2514,Application_99213678,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1117850.1689999104,1,12 days 22:30:50
2637,Application_1562591338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,450654.5460000038,1,5 days 05:10:55
2640,Application_1734546674,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2665484.8819999695,1,30 days 20:24:45
2661,Application_2107908034,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2227885.955000162,1,25 days 18:51:26
2883,Application_1291416564,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1281702.8350000381,1,14 days 20:01:43
2982,Application_2138403514,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2645386.6549999714,1,30 days 14:49:47
3364,Application_224754935,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1392795.6530001163,1,16 days 02:53:16
3369,Application_869604556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2662168.3250000477,1,30 days 19:29:28
3376,Application_1028452966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,877820.865999937,1,10 days 03:50:21
3410,Application_522241789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,215.77300000190735,1,0 days 00:03:36
3472,Application_2048956426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2664406.2679998875,1,30 days 20:06:46
3502,Application_94246719,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1722543.594000101,1,19 days 22:29:04
3562,Application_295457720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1050142.367999792,1,12 days 03:42:22
3652,Application_1925770669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,542311.5009999275,1,6 days 06:38:32
3819,Application_699380763,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,538537.7080001831,1,6 days 05:35:38
4098,Application_1138702906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2641778.254999876,1,30 days 13:49:38
4342,Application_2009027856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,932575.2049999237,1,10 days 19:02:55
4557,Application_327211842,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,595543.1720001698,1,6 days 21:25:43
4908,Application_349128032,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2660139.14199996,1,30 days 18:55:39
5087,Application_1848337819,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1210627.0160000324,1,14 days 00:17:07
5094,Application_1949719453,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,789165.0409998894,1,9 days 03:12:45
5098,Application_425000640,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1910752.5450000763,1,22 days 02:45:53
5102,Application_1283217943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,264616.13800001144,1,3 days 01:30:16
5124,Application_1530129403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1291703.2850000858,1,14 days 22:48:23
5200,Application_78611735,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,772743.2179999352,1,8 days 22:39:03
5296,Application_503954743,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,161362.16400003433,1,1 days 20:49:22
5301,Application_1697671223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2231518.914999962,1,25 days 19:51:59
5405,Application_360246644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,960538.4200000763,1,11 days 02:48:58
5465,Application_16903638,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,1071554.6059999466,1,12 days 09:39:15
5493,Application_1401496561,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,520852.98200011253,1,6 days 00:40:53
