,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
0,Application_652823628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,1144676.1190001965,1,13 days 05:57:56
1,Application_1691306052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,530018.2249999046,1,6 days 03:13:38
4,Application_828200680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,2743216.489000082,1,31 days 18:00:16
6,Application_1266995739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,699993.4210000038,1,8 days 02:26:33
7,Application_1878239836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,849326.5870001316,1,9 days 19:55:27
10,Application_1529124572,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,2227382.2640001774,1,25 days 18:43:02
11,Application_387012864,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,2732435.6330001354,1,31 days 15:00:36
14,Application_180547487,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,935552.9379999638,1,10 days 19:52:33
17,Application_1111870538,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,571583.364000082,1,6 days 14:46:23
19,Application_2082119944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1099418.5289998055,1,12 days 17:23:39
20,Application_758985626,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17000.0,4452604.54399991,1,51 days 12:50:05
24,Application_546206358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,780151.5920000076,1,9 days 00:42:32
36,Application_2049529862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,1384825.760999918,1,16 days 00:40:26
48,Application_470922426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,1724583.7559998035,1,19 days 23:03:04
50,Application_857715587,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40000.0,2649650.1940000057,1,30 days 16:00:50
54,Application_1118236712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2991258.5480000973,1,34 days 14:54:19
57,Application_2113276114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7500.0,1698339.114000082,1,19 days 15:45:39
59,Application_2110144842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2813515.0209999084,1,32 days 13:31:55
61,Application_587387633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,1440207.1519999504,1,16 days 16:03:27
65,Application_1530322400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,2915158.3310000896,1,33 days 17:45:58
81,Application_1130101747,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10500.0,1624812.39199996,1,18 days 19:20:12
82,Application_798605556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,761059.4589998722,1,8 days 19:24:19
85,Application_1370588808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,2818199.4360001087,1,32 days 14:49:59
86,Application_163777174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11000.0,1610585.1579999924,1,18 days 15:23:05
87,Application_909491524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,941263.4460000992,1,10 days 21:27:43
88,Application_396349881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1350693.984999895,1,15 days 15:11:34
92,Application_1357431492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,2720426.0510001183,1,31 days 11:40:26
93,Application_584603670,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,752033.6040000916,1,8 days 16:53:54
