,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
203,Application_918770224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,3783074.4309999943,4,43 days 18:51:14
274,Application_866541745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,4982959.61500001,4,57 days 16:09:20
291,Application_898874076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,4977395.108999968,4,57 days 14:36:35
349,Application_1295329022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12500.0,3563231.259000063,8,41 days 05:47:11
501,Application_265587905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10250.0,4835038.663000107,4,55 days 23:03:59
531,Application_899505410,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,4478601.424999952,4,51 days 20:03:21
573,Application_61478633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,5710525.619999886,4,66 days 02:15:26
718,Application_1942048129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6000.0,1360151.3309998512,4,15 days 17:49:11
748,Application_1084718608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8000.0,3585526.1889998913,4,41 days 11:58:46
749,Application_105711594,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,3585115.4670000076,5,41 days 11:51:55
920,Application_2039099639,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8000.0,3966192.870000124,4,45 days 21:43:13
934,Application_1879718776,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6589.0,4212990.964999914,4,48 days 18:16:31
937,Application_1514861341,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,4210732.69900012,4,48 days 17:38:53
941,Application_1944782361,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4209527.210999966,4,48 days 17:18:47
957,Application_2127502880,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,3336277.842999935,5,38 days 14:44:38
986,Application_1268984213,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4183991.2260000706,8,48 days 10:13:11
992,Application_1679363646,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11000.0,4144073.5489997864,5,47 days 23:07:54
1017,Application_1399527891,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,3866111.1259999275,5,44 days 17:55:11
1196,Application_420100939,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,3962847.8059999943,4,45 days 20:47:28
1228,Application_1729322307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,3865773.5319998264,5,44 days 17:49:34
1403,Application_1950286321,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,2407640.884000063,4,27 days 20:47:21
1414,Application_192004010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,3423495.342999935,5,39 days 14:58:15
1438,Application_594429699,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,1854291.7999999523,5,21 days 11:04:52
1497,Application_54468310,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,2831095.2219998837,5,32 days 18:24:55
1535,Application_472631767,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8000.0,1137953.6860001087,4,13 days 04:05:54
1720,Application_366844104,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,768342.25,4,8 days 21:25:42
1754,Application_1242034192,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,925163.268999815,4,10 days 16:59:23
1779,Application_1400148989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,3172657.888999939,4,36 days 17:17:38
