,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,Surprisingness,Effectiveness
445,Application_1926826475,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20000.0,7320360.623999834,2,84 days 17:26:01,39351.69821085002,177082534.34012944
1507,Application_77126964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,5398746.430999994,2,62 days 11:39:06,39351.69821085002,177082534.34012944
2927,Application_233626909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22000.0,5211183.585000038,2,60 days 07:33:04,39351.69821085002,177082534.34012944
3630,Application_1003879772,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20000.0,6529100.885999918,2,75 days 13:38:21,39351.69821085002,177082534.34012944
3743,Application_554417928,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,5526086.788000107,2,63 days 23:01:27,39351.69821085002,177082534.34012944
8346,Application_580307478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,6064987.539000034,2,70 days 04:43:08,39351.69821085002,177082534.34012944
8373,Application_1171453988,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21000.0,8156118.398000002,2,94 days 09:35:18,39351.69821085002,177082534.34012944
8973,Application_1368065414,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,5284677.756000042,2,61 days 03:57:58,39351.69821085002,177082534.34012944
9099,Application_1499191765,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25000.0,5191990.562000036,2,60 days 02:13:11,39351.69821085002,177082534.34012944
9148,Application_1484280125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,5126041.309000015,2,59 days 07:54:01,39351.69821085002,177082534.34012944
