,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
34,Application_2015287405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,4995258.6210000515,2,57 days 19:34:19
35,Application_1193723578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20000.0,1050250.0390000343,2,12 days 03:44:10
58,Application_1603124379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13000.0,840154.4379999638,2,9 days 17:22:34
63,Application_340403559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17000.0,4964091.222000122,2,57 days 10:54:51
68,Application_1767756144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,1064101.226999998,2,12 days 07:35:01
90,Application_2068443797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13500.0,4882331.434000015,2,56 days 12:12:11
94,Application_807916303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12000.0,5166925.821000099,2,59 days 19:15:26
155,Application_1096831814,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11800.0,356639.09700012207,2,4 days 03:03:59
158,Application_347787380,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26000.0,3707063.3639998436,2,42 days 21:44:23
173,Application_864903752,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16000.0,753534.859000206,2,8 days 17:18:55
224,Application_1975617123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17500.0,926711.4719998837,2,10 days 17:25:11
232,Application_346636726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,716375.3280000687,2,8 days 06:59:35
367,Application_1312956122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12000.0,758882.7869999409,2,8 days 18:48:03
381,Application_2103337476,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16000.0,4025891.786999941,2,46 days 14:18:12
424,Application_1507218840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16000.0,1307299.7559998035,2,15 days 03:08:20
428,Application_918578724,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21000.0,700484.1989998817,2,8 days 02:34:44
474,Application_1072003198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25000.0,1003370.4889998436,2,11 days 14:42:50
542,Application_1351256522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17000.0,4463898.568000078,2,51 days 15:58:19
578,Application_1830688036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18000.0,780034.9670000076,2,9 days 00:40:35
579,Application_189085643,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,1108551.269999981,2,12 days 19:55:51
581,Application_684696906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,4385108.8789999485,2,50 days 18:05:09
584,Application_413286327,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25000.0,3785003.5529999733,2,43 days 19:23:24
