,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,Surprisingness,Effectiveness
2280,Application_2081270236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9750.0,6721016.478999853,2,77 days 18:56:56,42613.06756352286,106532645.24723928
3191,Application_2051033566,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,8721170.023000002,2,100 days 22:32:50,42613.06756352286,106532645.24723928
4154,Application_1926117841,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5512624.503000021,2,63 days 19:17:05,42613.06756352286,106532645.24723928
8680,Application_575944975,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15000.0,5765701.143999815,2,66 days 17:35:01,42613.06756352286,106532645.24723928
8939,Application_2030977794,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13000.0,5317818.069000006,2,61 days 13:10:18,42613.06756352286,106532645.24723928
10129,Application_1173137665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5419404.5,2,62 days 17:23:24,42613.06756352286,106532645.24723928
10560,Application_1930466664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5420463.085999966,2,62 days 17:41:03,42613.06756352286,106532645.24723928
13282,Application_749276759,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,5340452.308000088,2,61 days 19:27:32,42613.06756352286,106532645.24723928
13740,Application_1561375263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,5337552.007000208,2,61 days 18:39:12,42613.06756352286,106532645.24723928
14561,Application_1277392889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,11985631.013999939,2,138 days 17:20:31,42613.06756352286,106532645.24723928
16360,Application_426809591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5000.0,9171644.148000002,2,106 days 03:40:44,42613.06756352286,106532645.24723928
16571,Application_811515143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13000.0,6973270.10800004,2,80 days 17:01:10,42613.06756352286,106532645.24723928
16731,Application_683272273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,5671650.509000063,2,65 days 15:27:31,42613.06756352286,106532645.24723928
16744,Application_1662795116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12000.0,5415421.870000124,2,62 days 16:17:02,42613.06756352286,106532645.24723928
17401,Application_2039007818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12865.0,5338924.770999908,2,61 days 19:02:05,42613.06756352286,106532645.24723928
19171,Application_1847622135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,5732475.798000097,2,66 days 08:21:16,42613.06756352286,106532645.24723928
19686,Application_1850895978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,5569846.899999857,2,64 days 11:10:47,42613.06756352286,106532645.24723928
20381,Application_1054777483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,5352249.614000082,2,61 days 22:44:10,42613.06756352286,106532645.24723928
21221,Application_2128172349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5000.0,7416128.944000006,2,85 days 20:02:09,42613.06756352286,106532645.24723928
22402,Application_1224187740,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,6757281.104000092,2,78 days 05:01:21,42613.06756352286,106532645.24723928
24517,Application_90621717,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,5953739.359999895,2,68 days 21:48:59,42613.06756352286,106532645.24723928
24805,Application_866670658,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000.0,5954011.345000029,2,68 days 21:53:31,42613.06756352286,106532645.24723928
25242,Application_1309710626,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,5520412.013000011,2,63 days 21:26:52,42613.06756352286,106532645.24723928
27860,Application_862319891,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,5392266.7619998455,2,62 days 09:51:07,42613.06756352286,106532645.24723928
27973,Application_2043769562,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,6085268.661000013,2,70 days 10:21:09,42613.06756352286,106532645.24723928
