,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time
213,Application_972938507,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35786.0,2044958.378000021,2,23 days 16:02:38
233,Application_1420077883,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27500.0,3131360.1259999275,2,36 days 05:49:20
369,Application_1195697898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25000.0,2320484.103000164,2,26 days 20:34:44
738,Application_99637081,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30000.0,906656.0869998932,2,10 days 11:50:56
820,Application_327901907,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28000.0,4535802.926999807,2,52 days 11:56:43
1026,Application_282633375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25000.0,857162.7170000076,2,9 days 22:06:03
1551,Application_2057487388,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25000.0,2666614.8920001984,2,30 days 20:43:35
1922,Application_579574094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30000.0,2927217.8650000095,2,33 days 21:06:58
2083,Application_1736511903,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,48000.0,2912985.788000107,2,33 days 17:09:46
4100,Application_70131987,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,33000.0,489367.78600001335,2,5 days 15:56:08
4798,Application_1050826511,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40000.0,3057138.35800004,2,35 days 09:12:18
4799,Application_956351471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,36500.0,6529233.704999924,2,75 days 13:40:34
5267,Application_557764012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45500.0,3158867.592999935,2,36 days 13:27:48
6042,Application_356722191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39500.0,3627031.5250000954,2,41 days 23:30:32
6168,Application_825859186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,65000.0,361654.5559999943,2,4 days 04:27:35
6386,Application_1540321754,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40000.0,2731767.4960000515,2,31 days 14:49:27
