,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
317,Application_983392205,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21500.0,11706149.299999952,2,135 days 11:42:29,34,135,53335.207303985866,181339568.91431203
1430,Application_323872264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20000.0,7160031.921999931,4,82 days 20:53:52,43,82,53335.207303985866,181339568.91431203
1745,Application_2037628374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18000.0,11550194.319999933,7,133 days 16:23:14,43,133,53335.207303985866,181339568.91431203
1772,Application_1253132147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25000.0,6099699.827000141,4,70 days 14:21:40,43,70,53335.207303985866,181339568.91431203
2448,Application_438333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,45000.0,7426968.929000139,3,85 days 23:02:49,42,85,53335.207303985866,181339568.91431203
4799,Application_956351471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,36500.0,6529233.704999924,2,75 days 13:40:34,35,75,53335.207303985866,181339568.91431203
5903,Application_168568352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23000.0,5849128.578000069,1,67 days 16:45:29,20,67,53335.207303985866,181339568.91431203
6536,Application_478108820,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,35000.0,10346149.892000198,3,119 days 17:55:50,42,119,53335.207303985866,181339568.91431203
7432,Application_1371149184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19000.0,6042031.6240000725,2,69 days 22:20:32,34,69,53335.207303985866,181339568.91431203
8320,Application_315416169,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19000.0,9411715.832999945,3,108 days 22:21:56,42,108,53335.207303985866,181339568.91431203
