,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
1,Application_1691306052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,530018.2249999046,1,6 days 03:13:38,16,6
2,Application_428409768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1107636.2909998894,2,12 days 19:40:36,28,12
4,Application_828200680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,2743216.489000082,1,31 days 18:00:16,16,31
7,Application_1878239836,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,849326.5870001316,1,9 days 19:55:27,16,9
14,Application_180547487,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,935552.9379999638,1,10 days 19:52:33,16,10
21,Application_1018615109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17000.0,1763882.851999998,2,20 days 09:58:03,29,20
24,Application_546206358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,780151.5920000076,1,9 days 00:42:32,16,9
28,Application_1197857445,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,4830167.84800005,2,55 days 21:42:48,28,55
36,Application_2049529862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,1384825.760999918,1,16 days 00:40:26,16,16
40,Application_1474017032,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,1108338.8159999847,2,12 days 19:52:19,28,12
41,Application_1397856354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,2829957.6289999485,1,32 days 18:05:58,5,32
43,Application_980495316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,42000.0,2330221.835000038,1,26 days 23:17:02,6,26
44,Application_2035768049,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,15000.0,1126621.726999998,1,13 days 00:57:02,5,13
48,Application_470922426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,1724583.7559998035,1,19 days 23:03:04,16,19
52,Application_1547844908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,40000.0,1033644.6009998322,2,11 days 23:07:25,29,11
57,Application_2113276114,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7500.0,1698339.114000082,1,19 days 15:45:39,16,19
60,Application_486645986,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27000.0,1113098.4650001526,2,12 days 21:11:38,29,12
65,Application_1530322400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,2915158.3310000896,1,33 days 17:45:58,16,33
66,Application_593655901,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4958146.121999979,2,57 days 09:15:46,28,57
73,Application_1588619628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24000.0,4914278.103999853,3,56 days 21:04:38,42,56
77,Application_1448214642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8000.0,1051522.3159999847,2,12 days 04:05:22,28,12
80,Application_1947648225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22000.0,6978001.513999939,3,80 days 18:20:02,42,80
82,Application_798605556,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,761059.4589998722,1,8 days 19:24:19,16,8
85,Application_1370588808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,2818199.4360001087,1,32 days 14:49:59,16,32
89,Application_930742634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,2759322.850000143,2,31 days 22:28:43,28,31
97,Application_178025821,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,1600628.7200000286,2,18 days 12:37:09,29,18
103,Application_1754646859,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,4873154.695000172,2,56 days 09:39:15,28,56
106,Application_58755651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,803127.2510001659,3,9 days 07:05:27,42,9
108,Application_774787486,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,2186858.242000103,2,25 days 07:27:38,28,25
110,Application_2105878744,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,1842013.851999998,1,21 days 07:40:14,16,21
118,Application_803879893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10000.0,950214.6570000648,1,10 days 23:56:55,5,10
120,Application_1250134245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4831558.1289999485,2,55 days 22:05:58,28,55
123,Application_854524772,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1550698.3839998245,1,17 days 22:44:58,16,17
126,Application_1674281629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,269119.95700001717,2,3 days 02:45:20,29,3
143,Application_74505494,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,2749917.7679998875,2,31 days 19:51:58,29,31
145,Application_106973225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,2749320.993999958,1,31 days 19:42:01,16,31
146,Application_1315608886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1485612.9760000706,1,17 days 04:40:13,16,17
147,Application_1538441067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10500.0,2061163.7879998684,2,23 days 20:32:44,28,23
150,Application_1754943309,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,179068.27800011635,1,2 days 01:44:28,16,2
154,Application_1004303396,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,2160753.2249999046,1,25 days 00:12:33,16,25
159,Application_1546754076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,1466846.5620000362,1,16 days 23:27:27,16,16
162,Application_665878125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18000.0,4814801.0069999695,2,55 days 17:26:41,29,55
165,Application_862160604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,4813216.974999905,2,55 days 17:00:17,29,55
170,Application_1947668470,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20000.0,1192297.8059999943,1,13 days 19:11:38,5,13
172,Application_2070389081,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,836048.51699996,2,9 days 16:14:09,29,9
175,Application_663648942,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,4808900.4990000725,2,55 days 15:48:20,28,55
179,Application_1413308979,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,597740.9349999428,1,6 days 22:02:21,16,6
180,Application_1308403282,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18000.0,1525934.7460000515,2,17 days 15:52:15,29,17
182,Application_1946680177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,1961407.3450000286,1,22 days 16:50:07,16,22
183,Application_948316229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,30000.0,4549805.479000092,2,52 days 15:50:05,29,52
187,Application_1301009504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,2727913.4009997845,1,31 days 13:45:13,16,31
191,Application_1791187926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,4798948.351999998,3,55 days 13:02:28,39,55
193,Application_1268592022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,1520486.5429999828,2,17 days 14:21:27,28,17
201,Application_1499869275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,3678320.0250000954,1,42 days 13:45:20,5,42
203,Application_918770224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,3783074.4309999943,4,43 days 18:51:14,40,43
208,Application_567907480,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,1516302.2769999504,1,17 days 13:11:42,16,17
209,Application_748088065,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,2395517.5149998665,1,27 days 17:25:18,16,27
210,Application_572814439,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,2128401.827000141,1,24 days 15:13:22,16,24
211,Application_256650628,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,2115278.126999855,1,24 days 11:34:38,16,24
217,Application_418070482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11000.0,4199996.746999979,2,48 days 14:39:57,28,48
219,Application_923963777,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,914230.0580000877,1,10 days 13:57:10,16,10
220,Application_1746133767,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,737598.1800000668,1,8 days 12:53:18,16,8
221,Application_920497952,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,2799322.460000038,2,32 days 09:35:22,29,32
226,Application_275597794,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,1936797.2209999561,3,22 days 09:59:57,39,22
