,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days
0,Application_652823628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,1144676.1190001965,1,13 days 05:57:56,16,13
5,Application_1085880569,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13000.0,5075728.960000038,2,58 days 17:55:29,28,58
6,Application_1266995739,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,699993.4210000038,1,8 days 02:26:33,16,8
13,Application_42838382,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29500.0,5061733.669999838,3,58 days 14:02:14,42,58
19,Application_2082119944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1099418.5289998055,1,12 days 17:23:39,16,12
38,Application_493034835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9000.0,863345.9100000858,1,9 days 23:49:06,5,9
42,Application_767475240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15400.0,2574446.5209999084,6,29 days 19:07:27,43,29
54,Application_1118236712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2991258.5480000973,1,34 days 14:54:19,16,34
55,Application_1234535641,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8000.0,4977508.802999973,2,57 days 14:38:29,28,57
59,Application_2110144842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2813515.0209999084,1,32 days 13:31:55,16,32
61,Application_587387633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,1440207.1519999504,1,16 days 16:03:27,16,16
72,Application_1300843234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,784423.8870000839,2,9 days 01:53:44,28,9
75,Application_1765204099,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8300.0,883907.4200000763,2,10 days 05:31:47,28,10
86,Application_163777174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11000.0,1610585.1579999924,1,18 days 15:23:05,16,18
88,Application_396349881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1350693.984999895,1,15 days 15:11:34,16,15
100,Application_1870161219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27400.0,4897840.231999874,1,56 days 16:30:40,16,56
107,Application_93597308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,1598546.112000227,1,18 days 12:02:26,16,18
115,Application_167944225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8000.0,622232.4620001316,1,7 days 04:50:32,16,7
122,Application_1999238509,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10000.0,2004441.5220000744,1,23 days 04:47:22,5,23
129,Application_1252717204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20600.0,5536474.986000061,4,64 days 01:54:35,43,64
140,Application_395903076,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16000.0,773859.2090001106,1,8 days 22:57:39,16,8
144,Application_525275343,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,43000.0,784395.0400002003,1,9 days 01:53:15,16,9
148,Application_822724921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,621651.9500000477,2,7 days 04:40:52,29,7
163,Application_1044911465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19500.0,4814481.441999912,2,55 days 17:21:21,29,55
164,Application_1613424593,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18000.0,1359127.5350000858,2,15 days 17:32:08,29,15
184,Application_1138826038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,1189163.117000103,1,13 days 18:19:23,16,13
186,Application_1998350808,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21800.0,2816279.760999918,1,32 days 14:18:00,16,32
188,Application_547462088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,2727483.297999859,1,31 days 13:38:03,16,31
189,Application_223366470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,2558652.5080001354,1,29 days 14:44:13,16,29
192,Application_421364849,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32000.0,1263967.7100000381,1,14 days 15:06:08,16,14
194,Application_1955353500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20000.0,1441865.0039999485,1,16 days 16:31:05,5,16
196,Application_1979402314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13250.0,4797768.664000034,4,55 days 12:42:49,43,55
216,Application_1643165806,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,4200709.266000032,1,48 days 14:51:49,16,48
227,Application_153538723,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,4332301.884000063,1,50 days 03:25:02,16,50
231,Application_854409161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,2671954.0349998474,1,30 days 22:12:34,16,30
237,Application_788421650,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,5000842.6180000305,2,57 days 21:07:23,28,57
239,Application_664267418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,1290287.9409999847,1,14 days 22:24:48,16,14
241,Application_1259601023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10000.0,706354.9110000134,2,8 days 04:12:35,28,8
247,Application_1101248362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7800.0,3619295.251000166,1,41 days 21:21:35,16,41
248,Application_1800870760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,45000.0,1454897.7869999409,2,16 days 20:08:18,29,16
261,Application_2115613475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14250.0,4988422.746999979,5,57 days 17:40:23,43,57
264,Application_1807951250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22000.0,843275.6050000191,1,9 days 18:14:36,16,9
272,Application_503966930,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,36000.0,1470863.8280000687,1,17 days 00:34:24,6,17
273,Application_1362293013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21500.0,1440956.0380001068,2,16 days 16:15:56,29,16
277,Application_1172125329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6000.0,847571.4290001392,2,9 days 19:26:11,28,9
280,Application_243636886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,3167429.181999922,1,36 days 15:50:29,16,36
281,Application_1838732360,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,2647917.169000149,1,30 days 15:31:57,16,30
282,Application_125495187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,1350880.0450000763,1,15 days 15:14:40,16,15
294,Application_1629784556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48000.0,2045675.6859998703,2,23 days 16:14:36,29,23
297,Application_1179942266,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,742489.6840000153,1,8 days 14:14:50,16,8
303,Application_989064530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,1781138.5899999142,1,20 days 14:45:39,16,20
310,Application_678686961,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36500.0,2982182.871999979,2,34 days 12:23:03,29,34
321,Application_74089970,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,155983.11800003052,1,1 days 19:19:43,16,1
337,Application_1326688469,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35000.0,2757161.1319999695,1,31 days 21:52:41,16,31
338,Application_1549864001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44000.0,1374879.2309999466,2,15 days 21:54:39,29,15
344,Application_1302654957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37500.0,2753439.1809999943,1,31 days 20:50:39,16,31
353,Application_1173759169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,2856356.1139998436,3,33 days 01:25:56,42,33
360,Application_1944285638,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,782855.3499999046,1,9 days 01:27:35,16,9
365,Application_681276588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,35000.0,2826862.3669998646,1,32 days 17:14:22,6,32
380,Application_59959307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23000.0,2489978.1180000305,1,28 days 19:39:38,16,28
386,Application_1899463053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,4022755.0739998817,2,46 days 13:25:55,29,46
389,Application_1502516207,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1006307.2130000591,1,11 days 15:31:47,16,11
395,Application_1139007530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2220202.0810000896,1,25 days 16:43:22,16,25
414,Application_1292397670,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26000.0,1643437.5880000591,1,19 days 00:30:38,16,19
419,Application_1355798622,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,4571347.269999981,2,52 days 21:49:07,28,52
422,Application_1283783929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,2756606.4700000286,2,31 days 21:43:26,29,31
433,Application_123754331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,530830.0210001469,1,6 days 03:27:10,16,6
435,Application_2063334713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,2408924.553999901,1,27 days 21:08:45,16,27
437,Application_339079436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,605964.6869997978,1,7 days 00:19:25,16,7
440,Application_2144860637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,619141.4210000038,1,7 days 03:59:01,16,7
454,Application_584603030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23000.0,2241721.268000126,1,25 days 22:42:01,16,25
462,Application_1436618564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15500.0,354853.05499982834,1,4 days 02:34:13,16,4
476,Application_1493542155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35000.0,4278853.634000063,2,49 days 12:34:14,29,49
479,Application_208148111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2806646.029000044,3,32 days 11:37:26,42,32
480,Application_953392572,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35000.0,2123951.2170000076,1,24 days 13:59:11,16,24
489,Application_1238272674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8000.0,1615146.5380001068,1,18 days 16:39:07,16,18
497,Application_1688279534,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,1081796.8099999428,1,12 days 12:29:57,16,12
504,Application_1548782450,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26400.0,3883467.2569999695,1,44 days 22:44:27,16,44
508,Application_1859043344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,3558567.625,3,41 days 04:29:28,39,41
510,Application_1661120161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,27500.0,953788.2000000477,1,11 days 00:56:28,5,11
515,Application_597160934,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,3978013.0709998608,1,46 days 01:00:13,16,46
517,Application_296295477,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32000.0,4477642.876000166,1,51 days 19:47:23,16,51
518,Application_28217916,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,4477044.159999847,3,51 days 19:37:24,39,51
526,Application_1747078975,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17000.0,938820.7990000248,2,10 days 20:47:01,29,10
529,Application_314744124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,1112339.771999836,1,12 days 20:59:00,16,12
531,Application_899505410,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,4478601.424999952,4,51 days 20:03:21,40,51
540,Application_1283463965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29000.0,2662369.4110000134,2,30 days 19:32:49,29,30
549,Application_1246596843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21000.0,1190655.623000145,2,13 days 18:44:16,29,13
557,Application_501818365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,3843626.2410001755,1,44 days 11:40:26,16,44
560,Application_275430191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16000.0,1153473.4100000858,1,13 days 08:24:33,16,13
563,Application_1250493532,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,2880922.654000044,2,33 days 08:15:23,29,33
573,Application_61478633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,5710525.619999886,4,66 days 02:15:26,40,66
575,Application_1966727878,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1033280.8470001221,2,11 days 23:01:21,28,11
582,Application_714015178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,4556978.92599988,1,52 days 17:49:39,16,52
583,Application_1021758905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,775435.5520000458,1,8 days 23:23:56,16,8
585,Application_870009989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,943745.3339998722,2,10 days 22:09:05,28,10
587,Application_238073987,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7100.0,4381334.536000013,2,50 days 17:02:15,28,50
598,Application_1224943696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,4364877.691999912,2,50 days 12:27:58,29,50
599,Application_1612474218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,4364559.340999842,2,50 days 12:22:39,28,50
610,Application_588083897,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,4318303.870999813,3,49 days 23:31:44,42,49
616,Application_526545505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,874864.748000145,1,10 days 03:01:05,16,10
620,Application_260580298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,768839.8949999809,1,8 days 21:34:00,16,8
622,Application_947906225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,703397.3930001259,1,8 days 03:23:17,16,8
625,Application_47949347,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,692022.4910001755,1,8 days 00:13:42,16,8
648,Application_265534781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,1581074.3259999752,3,18 days 07:11:14,39,18
660,Application_2146617069,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23000.0,2929961.1489999294,1,33 days 21:52:41,16,33
678,Application_646585496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,2750733.8910000324,1,31 days 20:05:34,16,31
681,Application_555366492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42000.0,354958.17199993134,1,4 days 02:35:58,6,4
684,Application_832178933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27500.0,2509187.924000025,1,29 days 00:59:48,16,29
688,Application_367497731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15000.0,3032097.30099988,2,35 days 02:14:57,28,35
691,Application_340692563,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,782973.2009999752,1,9 days 01:29:33,16,9
693,Application_909100209,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,88418.97799992561,1,1 days 00:33:39,16,1
697,Application_1974173610,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,953881.615999937,2,11 days 00:58:02,28,11
699,Application_327983119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,1361585.60800004,3,15 days 18:13:06,42,15
702,Application_1373752989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9750.0,1894363.9149999619,1,21 days 22:12:44,16,21
704,Application_335022722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,4209445.069000006,2,48 days 17:17:25,28,48
707,Application_2125825569,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6000.0,666606.3559999466,1,7 days 17:10:06,16,7
714,Application_14270635,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,940596.8140001297,1,10 days 21:16:37,16,10
722,Application_1041929908,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,30000.0,2401151.848999977,4,27 days 18:59:12,43,27
724,Application_1090055049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25500.0,2567663.856000185,1,29 days 17:14:24,16,29
727,Application_474390990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1184195.5250000954,1,13 days 16:56:36,16,13
729,Application_326095881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10000.0,2724912.905999899,1,31 days 12:55:13,16,31
735,Application_448701611,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9000.0,2722767.934999943,1,31 days 12:19:28,16,31
737,Application_395272936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,837310.623000145,1,9 days 16:35:11,16,9
739,Application_1478226284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26600.0,3595100.839999914,1,41 days 14:38:21,16,41
744,Application_1984100244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50000.0,1349672.9309999943,2,15 days 14:54:33,29,15
755,Application_384006007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12500.0,835840.6160001755,1,9 days 16:10:41,16,9
758,Application_1744454993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,841615.0989999771,2,9 days 17:46:55,28,9
759,Application_1484759598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19000.0,2468064.8110001087,1,28 days 13:34:25,16,28
762,Application_224001459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,2640803.9389998913,3,30 days 13:33:24,42,30
783,Application_1331441624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25000.0,2425840.625,1,28 days 01:50:41,16,28
788,Application_1601041346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15000.0,872868.9979999065,1,10 days 02:27:49,16,10
798,Application_1452087651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,4119758.60800004,2,47 days 16:22:39,28,47
804,Application_1134274536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17000.0,831217.9389998913,2,9 days 14:53:38,29,9
805,Application_1382673202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7000.0,668470.4289999008,1,7 days 17:41:10,16,7
807,Application_953335632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,2641888.1949999332,1,30 days 13:51:28,16,30
808,Application_1158965741,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5000.0,3861712.5329999924,2,44 days 16:41:53,28,44
