,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
69,Application_1405679737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,6857425.33100009,1,79 days 08:50:25,17,79,55498.88047387464,205345843.22385502
439,Application_1476922534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,6485449.325000048,4,75 days 01:30:49,48,75,55498.88047387464,205345843.22385502
867,Application_433449483,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,5942412.960999966,2,68 days 18:40:13,31,68,55498.88047387464,205345843.22385502
1116,Application_1002485344,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16000.0,8240356.866999865,2,95 days 08:59:17,32,95,55498.88047387464,205345843.22385502
4535,Application_1450091917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,11768547.933000088,1,136 days 05:02:28,17,136,55498.88047387464,205345843.22385502
7426,Application_843640997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26500.0,7134808.269000053,5,82 days 13:53:28,48,82,55498.88047387464,205345843.22385502
7974,Application_2048074537,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8000.0,6034317.282999992,3,69 days 20:11:57,47,69,55498.88047387464,205345843.22385502
8678,Application_1719668477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,5667382.523999929,3,65 days 14:16:23,46,65,55498.88047387464,205345843.22385502
9004,Application_727907012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,6080835.957999945,4,70 days 09:07:16,48,70,55498.88047387464,205345843.22385502
9484,Application_1031629108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,14521926.712000132,1,168 days 01:52:07,17,168,55498.88047387464,205345843.22385502
9697,Application_999544538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50000.0,6893315.306999922,5,79 days 18:48:35,48,79,55498.88047387464,205345843.22385502
10817,Application_1487325229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25000.0,7257263.638999939,2,83 days 23:54:24,32,83,55498.88047387464,205345843.22385502
10921,Application_228960832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,6991456.689999819,1,80 days 22:04:17,17,80,55498.88047387464,205345843.22385502
11440,Application_1109152833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,6031688.986999989,3,69 days 19:28:09,47,69,55498.88047387464,205345843.22385502
11955,Application_840962107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,75000.0,7836922.532999992,3,90 days 16:55:23,47,90,55498.88047387464,205345843.22385502
11990,Application_845569937,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8000.0,6580521.09800005,1,76 days 03:55:21,17,76,55498.88047387464,205345843.22385502
12023,Application_1766550589,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18000.0,9853755.475000143,1,114 days 01:09:15,17,114,55498.88047387464,205345843.22385502
12460,Application_394216761,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,9684054.07799983,1,112 days 02:00:54,17,112,55498.88047387464,205345843.22385502
12727,Application_1133392995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25000.0,7078677.989000082,3,81 days 22:17:58,47,81,55498.88047387464,205345843.22385502
13322,Application_242134213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,9583319.911000013,2,110 days 22:02:00,32,110,55498.88047387464,205345843.22385502
14180,Application_348622595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12000.0,5647706.039000034,3,65 days 08:48:26,47,65,55498.88047387464,205345843.22385502
14223,Application_1666073640,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10000.0,6038310.79700017,2,69 days 21:18:31,31,69,55498.88047387464,205345843.22385502
14583,Application_1068646658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,9790521.305000067,1,113 days 07:35:21,17,113,55498.88047387464,205345843.22385502
14741,Application_317782907,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,7547285.621999979,1,87 days 08:28:06,17,87,55498.88047387464,205345843.22385502
14977,Application_675694882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15000.0,7124246.477999926,1,82 days 10:57:26,17,82,55498.88047387464,205345843.22385502
15980,Application_358302705,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,5661087.319000006,2,65 days 12:31:27,31,65,55498.88047387464,205345843.22385502
17111,Application_1931585119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5000.0,6798606.742000103,2,78 days 16:30:07,31,78,55498.88047387464,205345843.22385502
17304,Application_1202753975,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30000.0,5559329.149999857,3,64 days 08:15:29,47,64,55498.88047387464,205345843.22385502
17915,Application_1084438713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,6738917.044000149,3,77 days 23:55:17,46,77,55498.88047387464,205345843.22385502
18209,Application_1628518449,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16000.0,5788267.9960000515,1,66 days 23:51:08,17,66,55498.88047387464,205345843.22385502
18564,Application_102424049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7000.0,5948173.337000132,3,68 days 20:16:13,46,68,55498.88047387464,205345843.22385502
19671,Application_1838182698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,10938907.515000105,3,126 days 14:35:08,46,126,55498.88047387464,205345843.22385502
20698,Application_1088555315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11000.0,5867277.276000023,1,67 days 21:47:57,17,67,55498.88047387464,205345843.22385502
22291,Application_574500271,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17500.0,5685427.174999952,1,65 days 19:17:07,17,65,55498.88047387464,205345843.22385502
26297,Application_858881040,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20000.0,5688003.262000084,2,65 days 20:00:03,32,65,55498.88047387464,205345843.22385502
26873,Application_2030070785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6000.0,6882777.945999861,2,79 days 15:52:58,31,79,55498.88047387464,205345843.22385502
27261,Application_314497877,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6500.0,6497689.019999981,2,75 days 04:54:49,31,75,55498.88047387464,205345843.22385502
