,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
80,Application_1947648225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22000.0,6978001.513999939,3,80 days 18:20:02,42,80,44894.70323899445,314262859.41829956
444,Application_385432676,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,6991027.407000065,1,80 days 21:57:07,16,80,44894.70323899445,314262859.41829956
1118,Application_1844611671,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5263904.453999996,2,60 days 22:11:44,28,60,44894.70323899445,314262859.41829956
1477,Application_552484031,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6000.0,5519373.906000137,1,63 days 21:09:34,16,63,44894.70323899445,314262859.41829956
2040,Application_763648038,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,6346066.930000067,4,73 days 10:47:47,43,73,44894.70323899445,314262859.41829956
2052,Application_1062630788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,7001559.350999832,4,81 days 00:52:39,43,81,44894.70323899445,314262859.41829956
2342,Application_484277152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,5673827.563000202,1,65 days 16:03:48,16,65,44894.70323899445,314262859.41829956
2748,Application_1454446491,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5655812.736000061,3,65 days 11:03:33,42,65,44894.70323899445,314262859.41829956
3097,Application_1663014149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,35000.0,6175748.829999924,1,71 days 11:29:09,16,71,44894.70323899445,314262859.41829956
3191,Application_2051033566,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,8721170.023000002,2,100 days 22:32:50,28,100,44894.70323899445,314262859.41829956
3638,Application_1787991043,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5193251.605999947,1,60 days 02:34:12,16,60,44894.70323899445,314262859.41829956
3743,Application_554417928,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,5526086.788000107,2,63 days 23:01:27,29,63,44894.70323899445,314262859.41829956
3864,Application_901986473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7000.0,5483649.092000008,3,63 days 11:14:09,39,63,44894.70323899445,314262859.41829956
4042,Application_445916015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5720715.860999823,4,66 days 05:05:16,43,66,44894.70323899445,314262859.41829956
4154,Application_1926117841,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5512624.503000021,2,63 days 19:17:05,28,63,44894.70323899445,314262859.41829956
4551,Application_1452039492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16700.0,5511980.048000097,4,63 days 19:06:20,43,63,44894.70323899445,314262859.41829956
5420,Application_1894510820,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12000.0,5854722.849999905,4,67 days 18:18:43,40,67,44894.70323899445,314262859.41829956
8114,Application_152677835,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5916713.631000042,3,68 days 11:31:54,39,68,44894.70323899445,314262859.41829956
8254,Application_83584896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,8340032.286999941,1,96 days 12:40:32,16,96,44894.70323899445,314262859.41829956
8346,Application_580307478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20000.0,6064987.539000034,2,70 days 04:43:08,29,70,44894.70323899445,314262859.41829956
8552,Application_357958889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,5360935.338999987,7,62 days 01:08:55,43,62,44894.70323899445,314262859.41829956
8751,Application_1048806756,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25000.0,5579739.303999901,4,64 days 13:55:39,43,64,44894.70323899445,314262859.41829956
8973,Application_1368065414,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,5284677.756000042,2,61 days 03:57:58,29,61,44894.70323899445,314262859.41829956
9025,Application_575581585,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5221908.770999908,3,60 days 10:31:49,39,60,44894.70323899445,314262859.41829956
9056,Application_1764214580,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,50000.0,5210716.003000021,3,60 days 07:25:16,42,60,44894.70323899445,314262859.41829956
9070,Application_789409572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,45000.0,5784035.680999994,1,66 days 22:40:36,6,66,44894.70323899445,314262859.41829956
10129,Application_1173137665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,5419404.5,2,62 days 17:23:24,28,62,44894.70323899445,314262859.41829956
10560,Application_1930466664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5420463.085999966,2,62 days 17:41:03,28,62,44894.70323899445,314262859.41829956
11899,Application_1494615660,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,6886162.664000034,3,79 days 16:49:23,42,79,44894.70323899445,314262859.41829956
11932,Application_978933800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10000.0,6209291.440999985,3,71 days 20:48:11,39,71,44894.70323899445,314262859.41829956
12167,Application_1806060525,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15000.0,8791678.332999945,1,101 days 18:07:58,16,101,44894.70323899445,314262859.41829956
12226,Application_1285009477,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5000.0,5520637.772000074,1,63 days 21:30:38,16,63,44894.70323899445,314262859.41829956
12817,Application_1325593620,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21000.0,9165097.39899993,1,106 days 01:51:37,16,106,44894.70323899445,314262859.41829956
13282,Application_749276759,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,5340452.308000088,2,61 days 19:27:32,28,61,44894.70323899445,314262859.41829956
14225,Application_665388395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30000.0,6407899.315000057,1,74 days 03:58:19,5,74,44894.70323899445,314262859.41829956
