,@@case_id_column,case:LoanGoal@Boat,case:LoanGoal@Business goal,case:LoanGoal@Car,case:LoanGoal@Caravan / Camper,case:LoanGoal@Debt restructuring,case:LoanGoal@Existing loan takeover,case:LoanGoal@Extra spending limit,case:LoanGoal@Home improvement,case:LoanGoal@Motorcycle,case:LoanGoal@Not speficied,"case:LoanGoal@Other, see explanation",case:LoanGoal@Remaining debt home,case:LoanGoal@Tax payments,case:LoanGoal@Unknown,case:ApplicationType@Limit raise,case:ApplicationType@New credit,case:RequestedAmount,@@caseDuration,@@num_occurrence_O_Create Offer,Throughput Time,cluster_id,days,Surprisingness,Effectiveness
129,Application_1252717204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20600.0,5536474.986000061,4,64 days 01:54:35,43,64,42940.80574393575,287703319.1394312
573,Application_61478633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,5710525.619999886,4,66 days 02:15:26,40,66,42940.80574393575,287703319.1394312
1507,Application_77126964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20000.0,5398746.430999994,2,62 days 11:39:06,29,62,42940.80574393575,287703319.1394312
2927,Application_233626909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22000.0,5211183.585000038,2,60 days 07:33:04,29,60,42940.80574393575,287703319.1394312
3172,Application_2041082181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7500.0,10004342.626000166,1,115 days 18:59:03,16,115,42940.80574393575,287703319.1394312
3471,Application_1883905628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20500.0,7200351.907000065,3,83 days 08:05:52,42,83,42940.80574393575,287703319.1394312
3834,Application_238099968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17500.0,5605793.164000034,1,64 days 21:09:53,16,64,42940.80574393575,287703319.1394312
3905,Application_818003570,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,37000.0,6107779.27699995,1,70 days 16:36:19,16,70,42940.80574393575,287703319.1394312
6901,Application_1700174135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23000.0,5351596.525000095,3,61 days 22:33:17,42,61,42940.80574393575,287703319.1394312
6949,Application_1219772874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23500.0,7216437.563000202,3,83 days 12:33:58,42,83,42940.80574393575,287703319.1394312
