,@@case_id_column,event:org:resource@10124,event:org:resource@10125,event:org:resource@10138,event:org:resource@10188,event:org:resource@10228,event:org:resource@10609,event:org:resource@10629,event:org:resource@10779,event:org:resource@10789,event:org:resource@10809,event:org:resource@10821,event:org:resource@10859,event:org:resource@10861,event:org:resource@10862,event:org:resource@10863,event:org:resource@10880,event:org:resource@10881,event:org:resource@10889,event:org:resource@10899,event:org:resource@10909,event:org:resource@10910,event:org:resource@10912,event:org:resource@10913,event:org:resource@10914,event:org:resource@10929,event:org:resource@10931,event:org:resource@10932,event:org:resource@10933,event:org:resource@10935,event:org:resource@10939,event:org:resource@10971,event:org:resource@10972,event:org:resource@10982,event:org:resource@11000,event:org:resource@11001,event:org:resource@11002,event:org:resource@11003,event:org:resource@11009,event:org:resource@11019,event:org:resource@11029,event:org:resource@11049,event:org:resource@11079,event:org:resource@11111,event:org:resource@11119,event:org:resource@11120,event:org:resource@11121,event:org:resource@11122,event:org:resource@11169,event:org:resource@11179,event:org:resource@11180,event:org:resource@11181,event:org:resource@11189,event:org:resource@112,event:org:resource@11200,event:org:resource@11201,event:org:resource@11202,event:org:resource@11203,event:org:resource@11254,event:org:resource@11259,event:org:resource@11269,event:org:resource@11289,event:org:resource@11299,event:org:resource@11300,event:org:resource@11302,event:org:resource@11304,event:org:resource@11309,event:org:resource@11319,event:org:resource@11339,case:AMOUNT_REQ,@@caseDuration,@@num_occurrence_O_CREATED-COMPLETE,Throughput Time,cluster_id,days
17,173739,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,1134596.990999937,0,13 days 03:09:57,9,13
34,173790,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0,760108.114000082,0,8 days 19:08:28,9,8
43,173817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000.0,807499.5460000038,0,9 days 08:18:20,9,9
95,173985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800.0,867111.7799999714,0,10 days 00:51:52,9,10
103,174009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7000.0,858929.7419998646,0,9 days 22:35:30,9,9
156,174168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7897.0,863942.6339998245,0,9 days 23:59:03,9,9
227,174394,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,759588.9539999962,0,8 days 18:59:49,9,8
287,174602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.0,4164.321000099182,0,0 days 01:09:24,9,0
423,175018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.0,598443.3960001469,0,6 days 22:14:03,9,6
577,175494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0,1522150.6009998322,0,17 days 14:49:11,9,17
