,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,Surprisingness,Effectiveness
3,A10001,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,16326000.0,0,1,0,1,0,1,0,0,1,1,0,188 days 23:00:00,448276.60849879135,6728900207950.756
69,A10102,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,20214000.0,0,1,0,1,0,1,0,0,1,1,0,233 days 23:00:00,448276.60849879135,6728900207950.756
72,A10107,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17449200.0,0,1,0,1,0,1,0,0,1,1,0,201 days 23:00:00,448276.60849879135,6728900207950.756
156,A10236,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17708400.0,0,1,0,1,0,1,0,0,1,1,0,204 days 23:00:00,448276.60849879135,6728900207950.756
405,A10625,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,19785600.0,0,1,0,1,0,1,0,0,1,1,0,229 days 00:00:00,448276.60849879135,6728900207950.756
482,A10740,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17888400.0,0,1,0,1,0,1,0,0,1,1,0,207 days 01:00:00,448276.60849879135,6728900207950.756
598,A10929,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,21517200.0,0,1,0,1,0,1,0,0,1,1,0,249 days 01:00:00,448276.60849879135,6728900207950.756
618,A10954,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17715600.0,0,1,0,1,0,1,0,0,1,1,0,205 days 01:00:00,448276.60849879135,6728900207950.756
683,A11053,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,21344400.0,0,1,0,1,0,1,0,0,1,1,0,247 days 01:00:00,448276.60849879135,6728900207950.756
844,A11293,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17715600.0,0,1,0,1,0,1,0,0,1,1,0,205 days 01:00:00,448276.60849879135,6728900207950.756
876,A11347,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,16506000.0,0,1,0,1,0,1,0,0,1,1,0,191 days 01:00:00,448276.60849879135,6728900207950.756
986,A11506,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17715600.0,0,1,0,1,0,1,0,0,1,1,0,205 days 01:00:00,448276.60849879135,6728900207950.756
996,A11523,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17542800.0,0,1,0,1,0,1,0,0,1,1,0,203 days 01:00:00,448276.60849879135,6728900207950.756
1005,A11536,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17283600.0,0,1,0,1,0,1,0,0,1,1,0,200 days 01:00:00,448276.60849879135,6728900207950.756
1059,A11616,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,16938000.0,0,1,0,1,0,1,0,0,1,1,0,196 days 01:00:00,448276.60849879135,6728900207950.756
1192,A11811,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17024400.0,0,1,0,1,0,1,0,0,1,1,0,197 days 01:00:00,448276.60849879135,6728900207950.756
1223,A11866,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,14342400.0,0,1,0,1,0,1,0,0,1,1,0,166 days 00:00:00,448276.60849879135,6728900207950.756
1536,A12379,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17542800.0,0,1,0,1,0,1,0,0,1,1,0,203 days 01:00:00,448276.60849879135,6728900207950.756
1546,A12400,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,14691600.0,0,1,0,1,0,1,0,0,1,1,0,170 days 01:00:00,448276.60849879135,6728900207950.756
1556,A12414,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,157,0.0,0,74.0,21949200.0,0,1,1,1,1,1,1,0,1,1,0,254 days 01:00:00,448276.60849879135,6728900207950.756
1576,A12453,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,14259600.0,0,1,0,1,0,1,0,0,1,1,0,165 days 01:00:00,448276.60849879135,6728900207950.756
1583,A12462,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,16851600.0,0,1,0,1,0,1,0,0,1,1,0,195 days 01:00:00,448276.60849879135,6728900207950.756
1608,A12502,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,17283600.0,0,1,0,1,0,1,0,0,1,1,0,200 days 01:00:00,448276.60849879135,6728900207950.756
1623,A12531,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,16938000.0,0,1,0,1,0,1,0,0,1,1,0,196 days 01:00:00,448276.60849879135,6728900207950.756
1647,A12584,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,74.0,13568400.0,0,1,0,1,0,1,0,0,1,1,0,157 days 01:00:00,448276.60849879135,6728900207950.756
