,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
18,A10022,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,514800.0,0,0,0,0,0,0,0,0,1,0,0,5 days 23:00:00
24,A10030,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,342000.0,0,0,0,0,0,0,0,0,1,0,0,3 days 23:00:00
63,A10092,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00
98,A10144,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,432000.0,0,0,0,0,0,0,0,0,1,0,0,5 days 00:00:00
199,A10308,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,259200.0,0,0,0,0,0,0,0,0,1,0,0,3 days 00:00:00
231,A10361,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,169200.0,0,0,0,0,0,0,0,0,1,0,0,1 days 23:00:00
277,A10435,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,7,35.0,0,22.0,9849600.0,0,0,0,0,0,0,0,0,1,1,0,114 days 00:00:00
327,A10501,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,1641600.0,0,0,0,0,0,0,0,0,1,0,0,19 days 00:00:00
363,A10555,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,604800.0,0,0,0,0,0,0,0,0,1,0,0,7 days 00:00:00
368,A10561,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,7,35.0,0,22.0,19357200.0,0,0,0,0,0,0,0,0,1,1,0,224 days 01:00:00
411,A10636,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,259200.0,0,0,0,0,0,0,0,0,1,0,0,3 days 00:00:00
421,A10656,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,518400.0,0,0,0,0,0,0,0,0,1,0,0,6 days 00:00:00
444,A10685,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,5014800.0,0,0,0,0,0,0,0,0,1,0,0,58 days 01:00:00
531,A10810,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00
532,A10811,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,777600.0,0,0,0,0,0,0,0,0,1,0,0,9 days 00:00:00
563,A10863,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,22.0,255600.0,0,0,0,0,0,0,0,0,1,0,0,2 days 23:00:00
