,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,Surprisingness,Effectiveness
22593,A7646,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,158,82.0,0,143.0,71708400.0,1,0,0,1,0,1,0,0,1,1,0,829 days 23:00:00,494883.0348141441,30979671462.361553
23878,C10972,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,170,37.75,0,62.59,64537200.0,1,0,0,1,0,1,0,0,1,1,0,746 days 23:00:00,494883.0348141441,30979671462.361553
24102,C11997,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,172,31.3,0,62.59,56246400.0,1,0,0,1,0,1,0,0,1,1,0,651 days 00:00:00,494883.0348141441,30979671462.361553
24170,C12239,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,180,38.01,0,62.59,51321600.0,1,0,0,1,0,1,0,0,1,1,0,594 days 00:00:00,494883.0348141441,30979671462.361553
24230,C12466,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,171,31.3,0,62.59,51148800.0,1,0,0,1,0,1,0,0,1,1,0,592 days 00:00:00,494883.0348141441,30979671462.361553
24412,C13068,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,180,32.8,0,65.6,53312400.0,1,0,0,1,0,1,0,0,1,1,0,617 days 01:00:00,494883.0348141441,30979671462.361553
24469,C13210,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,172,33.05,0,65.6,52621200.0,1,0,0,1,0,1,0,0,1,1,0,609 days 01:00:00,494883.0348141441,30979671462.361553
24663,C13644,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,158,65.6,0,131.2,46659600.0,1,0,0,1,0,1,0,0,1,1,0,540 days 01:00:00,494883.0348141441,30979671462.361553
24790,C13942,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,180,19.68,0,39.36,42426000.0,1,0,0,1,0,1,0,0,1,1,0,491 days 01:00:00,494883.0348141441,30979671462.361553
24797,C13958,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,172,39.51,0,65.6,43030800.0,1,0,0,1,0,1,0,0,1,1,0,498 days 01:00:00,494883.0348141441,30979671462.361553
24916,C14260,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,171,32.8,0,65.6,40093200.0,1,0,0,1,0,1,0,0,1,1,0,464 days 01:00:00,494883.0348141441,30979671462.361553
24962,C14392,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,172,32.8,0,65.6,65145600.0,1,0,0,1,0,1,0,0,1,1,0,754 days 00:00:00,494883.0348141441,30979671462.361553
24963,C14395,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,172,52.32,0,65.5,60652800.0,1,0,0,1,0,1,0,0,1,1,0,702 days 00:00:00,494883.0348141441,30979671462.361553
24964,C14396,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,172,80.66,0,65.5,51404400.0,1,0,0,1,0,1,0,0,1,1,0,594 days 23:00:00,494883.0348141441,30979671462.361553
24997,C14461,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,171,32.0,0,65.5,44499600.0,1,0,0,1,0,1,0,0,1,1,0,515 days 01:00:00,494883.0348141441,30979671462.361553
25084,C14663,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,65.5,0,65.5,44067600.0,1,0,0,1,0,1,0,0,1,1,0,510 days 01:00:00,494883.0348141441,30979671462.361553
25088,C14678,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,171,42.0,0,65.5,48906000.0,1,0,0,1,0,1,0,0,1,1,0,566 days 01:00:00,494883.0348141441,30979671462.361553
25156,C14820,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,180,29.0,0,39.0,52448400.0,1,0,0,1,0,1,0,0,1,1,0,607 days 01:00:00,494883.0348141441,30979671462.361553
25237,C14999,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,180,32.0,0,65.5,46659600.0,1,0,0,1,0,1,0,0,1,1,0,540 days 01:00:00,494883.0348141441,30979671462.361553
25647,C16322,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,180,40.95,0,40.95,52966800.0,0,0,0,1,0,1,0,0,1,1,0,613 days 01:00:00,494883.0348141441,30979671462.361553
25684,C16487,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,180,40.95,0,40.95,48387600.0,0,0,0,1,0,1,0,0,1,1,0,560 days 01:00:00,494883.0348141441,30979671462.361553
