,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
2051,A13312,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,158,74.0,0,74.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00
4088,A16745,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,158,87.0,0,74.0,36892800.0,0,0,0,1,0,1,0,0,1,1,0,427 days 00:00:00
4230,A17003,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,158,87.0,0,74.0,26784000.0,1,0,0,1,0,1,0,0,1,1,0,310 days 00:00:00
7728,A22871,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,158,87.0,0,74.0,29203200.0,0,0,0,1,0,1,0,0,1,1,0,338 days 00:00:00
14442,A34483,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,158,87.5,0,74.0,32054400.0,0,0,0,1,0,1,0,0,1,1,0,371 days 00:00:00
14653,A34855,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,158,87.5,0,74.0,31795200.0,0,0,0,1,0,1,0,0,1,1,0,368 days 00:00:00
22593,A7646,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,158,82.0,0,143.0,71708400.0,1,0,0,1,0,1,0,0,1,1,0,829 days 23:00:00
23777,C10189,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,158,65.0,0,65.0,1296000.0,0,0,0,0,0,0,0,0,1,0,0,15 days 00:00:00
23778,C10190,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,180,65.5,0,65.5,11145600.0,1,0,0,1,0,1,0,0,1,1,0,129 days 00:00:00
23781,C10194,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,65.5,0,65.5,7776000.0,0,0,0,1,0,1,0,0,1,1,0,90 days 00:00:00
23784,C10201,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,32.0,0,65.5,5266800.0,0,0,0,1,0,1,0,0,1,1,0,60 days 23:00:00
23790,C10330,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,180,26.39,0,39.36,14342400.0,0,0,0,1,0,1,0,0,1,1,0,166 days 00:00:00
23878,C10972,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,170,37.75,0,62.59,64537200.0,1,0,0,1,0,1,0,0,1,1,0,746 days 23:00:00
23880,C10981,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,172,75.51,0,62.59,25232400.0,0,0,1,1,0,1,1,0,1,1,0,292 days 01:00:00
23882,C10985,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,172,42.71,0,62.59,28256400.0,1,0,0,1,0,1,0,0,1,1,0,327 days 01:00:00
23936,C11190,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,47.67,0,62.59,27046800.0,1,0,0,1,0,1,0,0,1,1,0,313 days 01:00:00
23971,C11407,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,171,31.3,0,62.59,5529600.0,0,0,0,1,0,1,0,0,1,1,0,64 days 00:00:00
23989,C11484,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,42.71,0,62.59,26355600.0,1,0,0,1,0,1,0,0,1,1,0,305 days 01:00:00
24068,C11840,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,62.6,0,62.59,23158800.0,1,0,0,1,0,1,0,0,1,1,0,268 days 01:00:00
24078,C11878,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,62.59,0,62.59,20217600.0,0,0,0,1,0,1,0,0,1,1,0,234 days 00:00:00
24079,C11883,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,43.17,0,62.59,26438400.0,1,0,0,1,0,1,0,0,1,1,0,306 days 00:00:00
24081,C11890,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,62.59,0,62.59,32400000.0,0,0,0,1,0,1,0,0,1,1,0,375 days 00:00:00
24102,C11997,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,172,31.3,0,62.59,56246400.0,1,0,0,1,0,1,0,0,1,1,0,651 days 00:00:00
24148,C12169,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,171,62.59,0,62.59,10458000.0,0,0,0,1,0,1,0,0,1,1,0,121 days 01:00:00
24152,C12177,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,172,62.59,0,62.59,16592400.0,0,0,0,1,0,1,0,0,1,1,0,192 days 01:00:00
