,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
39,A1006,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,3024000.0,0,0,0,0,0,0,0,0,1,0,0,35 days 00:00:00
287,A1045,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,7,32.0,0,21.0,10969200.0,0,0,0,0,0,0,0,0,1,1,0,126 days 23:00:00
675,A1104,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,691200.0,0,0,0,0,0,0,0,0,1,0,0,8 days 00:00:00
968,A1148,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
6509,A2080,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,604800.0,0,0,0,0,0,0,0,0,1,0,0,7 days 00:00:00
6573,A2091,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00
6885,A2143,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,7261200.0,0,0,0,0,0,0,0,0,1,0,0,84 days 01:00:00
6892,A2144,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00
8802,A2468,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
9612,A2604,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,22.0,0,21.0,432000.0,0,0,0,0,0,0,0,0,1,0,0,5 days 00:00:00
10439,A2738,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,518400.0,0,0,0,0,0,0,0,0,1,0,0,6 days 00:00:00
10803,A2799,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
11873,A2983,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
12726,A3152,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,864000.0,0,0,0,0,0,0,0,0,1,0,0,10 days 00:00:00
14266,A3416,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,604800.0,0,0,0,0,0,0,0,0,1,0,0,7 days 00:00:00
15036,A3553,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00
16003,A3728,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00
16141,A3751,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00
16150,A3753,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
16166,A3755,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,604800.0,0,0,0,0,0,0,0,0,1,0,0,7 days 00:00:00
17119,A3947,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00
17349,A3986,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,604800.0,0,0,0,0,0,0,0,0,1,0,0,7 days 00:00:00
17849,A4079,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,777600.0,0,0,0,0,0,0,0,0,1,0,0,9 days 00:00:00
18130,A4122,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00
18574,A4199,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00
18663,A4218,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,172800.0,0,0,0,0,0,0,0,0,1,0,0,2 days 00:00:00
18735,A4230,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0 days 00:00:00
18744,A4231,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,1126800.0,0,0,0,0,0,0,0,0,1,0,0,13 days 01:00:00
18830,A4246,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,522000.0,0,0,0,0,0,0,0,0,1,0,0,6 days 01:00:00
19232,A4319,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,5360400.0,0,0,0,0,0,0,0,0,1,0,0,62 days 01:00:00
19870,A4425,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,4582800.0,0,0,0,0,0,0,0,0,1,0,0,53 days 01:00:00
20887,A463,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,345600.0,0,0,0,0,0,0,0,0,1,0,0,4 days 00:00:00
20913,A464,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
20995,A4677,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,1558800.0,0,0,0,0,0,0,0,0,1,0,0,18 days 01:00:00
21047,A4709,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
21063,A4758,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
21068,A4770,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,21.0,0,21.0,86400.0,0,0,0,0,0,0,0,0,1,0,0,1 days 00:00:00
