,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
1,A100,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,157,0.0,0,71.5,83894400.0,0,0,0,1,0,1,0,0,1,1,0,971 days 00:00:00
9,A1001,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,42.5,83894400.0,0,0,0,1,0,1,0,0,1,1,0,971 days 00:00:00
16,A1002,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,42.5,83635200.0,0,0,0,1,0,1,0,0,1,1,0,968 days 00:00:00
35,A10050,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,63331200.0,0,0,0,1,0,1,0,0,1,1,0,733 days 00:00:00
60,A1009,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,42.5,81561600.0,0,0,0,1,0,1,0,0,1,1,0,944 days 00:00:00
88,A1013,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,42.5,80784000.0,0,0,0,1,0,1,0,0,1,1,0,935 days 00:00:00
94,A1014,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,42.5,80697600.0,0,0,0,1,0,1,0,0,1,1,0,934 days 00:00:00
135,A102,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,157,0.0,0,71.5,84153600.0,0,0,0,1,0,1,0,0,1,1,0,974 days 00:00:00
194,A10299,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,63932400.0,0,0,0,1,0,1,0,0,1,1,0,739 days 23:00:00
195,A103,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,157,0.0,0,71.5,84153600.0,0,0,0,1,0,1,0,0,1,1,0,974 days 00:00:00
254,A10403,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,66092400.0,0,0,0,1,0,1,0,0,1,1,0,764 days 23:00:00
255,A10404,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,65574000.0,0,0,0,1,0,1,0,0,1,1,0,758 days 23:00:00
258,A10409,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,64278000.0,0,0,0,1,0,1,0,0,1,1,0,743 days 23:00:00
259,A1041,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,42.5,74732400.0,0,0,0,1,0,1,0,0,1,1,0,864 days 23:00:00
260,A10411,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,18921600.0,0,1,0,1,0,1,0,0,1,1,0,219 days 00:00:00
261,A10413,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,62985600.0,0,0,0,1,0,1,0,0,1,1,0,729 days 00:00:00
264,A10420,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,58924800.0,0,0,0,1,0,1,0,0,1,1,0,682 days 00:00:00
265,A10421,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,58060800.0,0,0,0,1,0,1,0,0,1,1,0,672 days 00:00:00
266,A10422,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,58060800.0,0,0,0,1,0,1,0,0,1,1,0,672 days 00:00:00
268,A10425,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,56246400.0,0,0,0,1,0,1,0,0,1,1,0,651 days 00:00:00
269,A10426,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,55987200.0,0,0,0,1,0,1,0,0,1,1,0,648 days 00:00:00
271,A10428,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,55814400.0,0,0,0,1,0,1,0,0,1,1,0,646 days 00:00:00
274,A10430,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,55728000.0,0,0,0,1,0,1,0,0,1,1,0,645 days 00:00:00
275,A10432,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,55468800.0,0,0,0,1,0,1,0,0,1,1,0,642 days 00:00:00
278,A10436,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,55123200.0,0,0,0,1,0,1,0,0,1,1,0,638 days 00:00:00
279,A10437,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,7,0.0,0,44.0,54864000.0,0,0,0,1,0,1,0,0,1,1,0,635 days 00:00:00
