,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
115,A10168,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,64969200.0,0,0,0,1,0,1,0,0,1,1,0,751 days 23:00:00
530,A1081,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,71.0,10890000.0,0,0,0,0,0,0,0,0,1,0,0,126 days 01:00:00
785,A11205,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,0,74.0,16930800.0,0,1,0,1,0,1,0,0,1,1,0,195 days 23:00:00
1031,A11572,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,74.0,9244800.0,0,0,0,0,0,0,0,0,1,0,0,107 days 00:00:00
1338,A12048,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,59875200.0,0,0,0,1,0,1,0,0,1,1,0,693 days 00:00:00
1649,A12588,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,58233600.0,0,0,0,1,0,1,0,0,1,1,0,674 days 00:00:00
1968,A13162,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,158,0.0,0,74.0,13568400.0,0,1,0,1,0,1,0,0,1,1,0,157 days 01:00:00
2563,A14166,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,56246400.0,0,0,0,1,0,1,0,0,1,1,0,651 days 00:00:00
2621,A14263,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,74.0,7257600.0,0,0,0,0,0,0,0,0,1,0,0,84 days 00:00:00
2890,A14730,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,55382400.0,0,0,0,1,0,1,0,0,1,1,0,641 days 00:00:00
2969,A14860,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,74.0,6912000.0,0,0,0,0,0,0,0,0,1,0,0,80 days 00:00:00
3287,A15392,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,54086400.0,0,0,0,1,0,1,0,0,1,1,0,626 days 00:00:00
3903,A16409,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,56073600.0,0,0,0,1,0,1,0,0,1,1,0,649 days 00:00:00
3904,A16410,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,56073600.0,0,0,0,1,0,1,0,0,1,1,0,649 days 00:00:00
3943,A1648,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,71.0,10112400.0,0,0,0,0,0,0,0,0,1,0,0,117 days 01:00:00
4190,A16932,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,51667200.0,0,0,0,1,0,1,0,0,1,1,0,598 days 00:00:00
4379,A17229,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,50457600.0,0,0,0,1,0,1,0,0,1,1,0,584 days 00:00:00
4981,A18270,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,54259200.0,0,0,0,1,0,1,0,0,1,1,0,628 days 00:00:00
5204,A18644,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,53827200.0,0,0,0,1,0,1,0,0,1,1,0,623 days 00:00:00
5359,A18902,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,53827200.0,0,0,0,1,0,1,0,0,1,1,0,623 days 00:00:00
5471,A19073,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,52185600.0,0,0,0,1,0,1,0,0,1,1,0,604 days 00:00:00
5625,A19315,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,53568000.0,0,0,0,1,0,1,0,0,1,1,0,620 days 00:00:00
5948,A19897,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,52358400.0,0,0,0,1,0,1,0,0,1,1,0,606 days 00:00:00
6456,A20705,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,51667200.0,0,0,0,1,0,1,0,0,1,1,0,598 days 00:00:00
7529,A22542,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,46828800.0,0,0,0,1,0,1,0,0,1,1,0,542 days 00:00:00
8550,A24256,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,43801200.0,0,0,0,1,0,1,0,0,1,1,0,506 days 23:00:00
10130,A2688,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,71.0,9594000.0,0,0,0,0,0,0,0,0,1,0,0,111 days 01:00:00
11737,A29566,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,2,74.0,9853200.0,0,0,0,0,0,0,0,0,1,0,0,114 days 01:00:00
11902,A2988,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,71.5,81993600.0,0,0,0,1,0,1,0,0,1,1,0,949 days 00:00:00
12270,A30590,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,68688000.0,0,0,0,1,0,1,0,0,1,1,0,795 days 00:00:00
12431,A30939,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,158,0.0,0,74.0,69292800.0,0,0,0,1,0,1,0,0,1,1,0,802 days 00:00:00
13000,A31992,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,158,0.0,0,74.0,4233600.0,0,0,0,0,0,0,0,0,1,0,0,49 days 00:00:00
