,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time
11402,A29040,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,25232400.0,1,0,0,1,0,1,0,0,1,1,0,292 days 01:00:00
11629,A29418,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,24883200.0,0,0,0,1,0,1,0,0,1,1,0,288 days 00:00:00
11632,A29425,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,60393600.0,0,0,0,1,0,1,0,0,1,1,0,699 days 00:00:00
11862,A29816,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,58665600.0,0,0,0,1,0,1,0,0,1,1,0,679 days 00:00:00
12087,A30220,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,14864400.0,1,0,0,1,0,1,0,0,1,1,0,172 days 01:00:00
12238,A30541,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,64713600.0,0,0,0,1,0,1,0,0,1,1,0,749 days 00:00:00
15035,A35528,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,22032000.0,1,0,0,1,0,1,0,0,1,1,0,255 days 00:00:00
15065,A35567,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,69638400.0,0,0,0,1,0,1,0,0,1,1,0,806 days 00:00:00
15071,A35579,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,15469200.0,1,0,0,1,0,1,0,0,1,1,0,179 days 01:00:00
15074,A35582,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,71798400.0,0,0,0,1,0,1,0,0,1,1,0,831 days 00:00:00
15077,A35587,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,71712000.0,0,0,0,1,0,1,0,0,1,1,0,830 days 00:00:00
15078,A35588,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,67996800.0,0,0,0,1,0,1,0,0,1,1,1,787 days 00:00:00
16308,A37823,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,19004400.0,0,0,0,1,0,1,0,0,1,1,0,219 days 23:00:00
16641,A38623,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,31017600.0,0,0,0,1,0,1,0,0,1,1,0,359 days 00:00:00
16662,A38665,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,18486000.0,0,0,0,1,0,1,0,0,1,1,0,213 days 23:00:00
16741,A38775,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,15634800.0,0,0,0,1,0,1,0,0,1,1,0,180 days 23:00:00
16837,A38981,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,16066800.0,0,0,0,1,0,1,0,0,1,1,0,185 days 23:00:00
16843,A38993,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,78447600.0,0,0,0,1,0,1,0,0,1,1,0,907 days 23:00:00
16875,A39043,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,27043200.0,1,0,0,1,0,1,0,0,1,1,0,313 days 00:00:00
16943,A39178,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,19954800.0,1,0,0,1,0,1,0,0,1,1,0,230 days 23:00:00
16987,A39250,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,22723200.0,1,0,0,1,0,1,0,0,1,1,0,263 days 00:00:00
17079,A39403,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,20822400.0,1,0,0,1,0,1,0,0,1,1,0,241 days 00:00:00
17091,A39423,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,157,91.0,0,77.5,75945600.0,0,0,0,1,0,1,0,0,1,1,0,879 days 00:00:00
