,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,Surprisingness,Effectiveness
25089,C14679,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,39.0,114483600.0,0,0,0,1,0,1,0,0,1,1,0,1325 days 01:00:00,413814.3710266974,3889854753.388823
26418,C18654,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,42.5,82857600.0,0,0,0,1,0,1,0,0,1,1,0,959 days 00:00:00,413814.3710266974,3889854753.388823
26507,C18885,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,42.5,84758400.0,0,0,0,1,0,1,0,0,1,1,0,981 days 00:00:00,413814.3710266974,3889854753.388823
26508,C18895,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,42.5,83980800.0,0,0,0,1,0,1,0,0,1,1,0,972 days 00:00:00,413814.3710266974,3889854753.388823
26597,C19114,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,42.5,81302400.0,0,0,0,1,0,1,0,0,1,1,0,941 days 00:00:00,413814.3710266974,3889854753.388823
27308,C21019,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,46.0,85536000.0,0,0,0,1,0,1,0,0,1,1,0,990 days 00:00:00,413814.3710266974,3889854753.388823
27318,C21042,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,46.0,83980800.0,0,0,0,1,0,1,0,0,1,1,0,972 days 00:00:00,413814.3710266974,3889854753.388823
27324,C21067,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,46.0,81043200.0,0,0,0,1,0,1,0,0,1,1,0,938 days 00:00:00,413814.3710266974,3889854753.388823
27527,C21570,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,180,0.0,0,46.0,92102400.0,0,0,0,1,0,1,0,0,1,1,1,1066 days 00:00:00,413814.3710266974,3889854753.388823
75931,S102492,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,181,0.0,0,42.5,108777600.0,0,0,0,1,0,1,0,0,1,1,0,1259 days 00:00:00,413814.3710266974,3889854753.388823
