,@@case_id_column,event:concept:name@Add penalty,event:concept:name@Appeal to Judge,event:concept:name@Create Fine,event:concept:name@Insert Date Appeal to Prefecture,event:concept:name@Insert Fine Notification,event:concept:name@Notify Result Appeal to Offender,event:concept:name@Payment,event:concept:name@Receive Result Appeal from Prefecture,event:concept:name@Send Appeal to Prefecture,event:concept:name@Send Fine,event:concept:name@Send for Credit Collection,event:vehicleClass@A,event:vehicleClass@C,event:vehicleClass@M,event:vehicleClass@R,event:article,event:totalPaymentAmount,event:points,event:amount,@@caseDuration,@@num_occurrence_Payment,@@num_occurrence_Insert Date Appeal to Prefecture,@@num_occurrence_Notify Result Appeal to Offender,@@num_occurrence_Insert Fine Notification,@@num_occurrence_Send Appeal to Prefecture,@@num_occurrence_Add penalty,@@num_occurrence_Receive Result Appeal from Prefecture,@@num_occurrence_Send for Credit Collection,@@num_occurrence_Create Fine,@@num_occurrence_Send Fine,@@num_occurrence_Appeal to Judge,Throughput Time,Surprisingness,Effectiveness
260,A10411,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,18921600.0,0,1,0,1,0,1,0,0,1,1,0,219 days 00:00:00,488727.923163336,7272026333395.814
422,A10657,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,19098000.0,0,1,0,1,0,1,0,0,1,1,0,221 days 01:00:00,488727.923163336,7272026333395.814
1438,A122,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,19270800.0,0,1,0,1,0,1,0,0,1,1,0,223 days 01:00:00,488727.923163336,7272026333395.814
1770,A1278,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,17974800.0,0,1,0,1,0,1,0,0,1,1,0,208 days 01:00:00,488727.923163336,7272026333395.814
3182,A15224,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,12704400.0,0,1,0,1,0,1,0,0,1,1,0,147 days 01:00:00,488727.923163336,7272026333395.814
3526,A1581,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,18493200.0,0,1,0,1,0,1,0,0,1,1,0,214 days 01:00:00,488727.923163336,7272026333395.814
4188,A1693,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,19530000.0,0,1,0,1,0,1,0,0,1,1,0,226 days 01:00:00,488727.923163336,7272026333395.814
4277,A17074,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,13222800.0,0,1,0,1,0,1,0,0,1,1,0,153 days 01:00:00,488727.923163336,7272026333395.814
5132,A18514,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,13042800.0,0,1,0,1,0,1,0,0,1,1,0,150 days 23:00:00,488727.923163336,7272026333395.814
5209,A1866,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,18752400.0,0,1,0,1,0,1,0,0,1,1,0,217 days 01:00:00,488727.923163336,7272026333395.814
5562,A1921,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,17024400.0,0,1,0,1,0,1,0,0,1,1,0,197 days 01:00:00,488727.923163336,7272026333395.814
5748,A19565,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,14432400.0,0,1,0,1,0,1,0,0,1,1,0,167 days 01:00:00,488727.923163336,7272026333395.814
5957,A1992,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,16419600.0,0,1,0,1,0,1,0,0,1,1,0,190 days 01:00:00,488727.923163336,7272026333395.814
6105,A2016,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,71.5,17024400.0,0,1,0,1,0,1,0,0,1,1,0,197 days 01:00:00,488727.923163336,7272026333395.814
6178,A2027,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,16938000.0,0,1,0,1,0,1,0,0,1,1,0,196 days 01:00:00,488727.923163336,7272026333395.814
6211,A20315,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,14169600.0,0,1,0,1,0,1,0,0,1,1,0,164 days 00:00:00,488727.923163336,7272026333395.814
6230,A20342,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,11404800.0,0,1,0,1,0,1,0,0,1,1,0,132 days 00:00:00,488727.923163336,7272026333395.814
6403,A2061,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,16765200.0,0,1,0,1,0,1,0,0,1,1,0,194 days 01:00:00,488727.923163336,7272026333395.814
7325,A22164,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,20476800.0,0,1,0,1,0,1,0,0,1,1,0,237 days 00:00:00,488727.923163336,7272026333395.814
7445,A22383,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,12178800.0,0,1,0,1,0,1,0,0,1,1,0,140 days 23:00:00,488727.923163336,7272026333395.814
7537,A2256,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,16333200.0,0,1,0,1,0,1,0,0,1,1,0,189 days 01:00:00,488727.923163336,7272026333395.814
8208,A237,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,19702800.0,0,1,0,1,0,1,0,0,1,1,0,228 days 01:00:00,488727.923163336,7272026333395.814
8688,A2448,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,17974800.0,0,1,0,1,0,1,0,0,1,1,0,208 days 01:00:00,488727.923163336,7272026333395.814
9508,A2586,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,15555600.0,0,1,0,1,0,1,0,0,1,1,0,180 days 01:00:00,488727.923163336,7272026333395.814
10194,A26987,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,15030000.0,0,1,0,1,0,1,0,0,1,1,0,173 days 23:00:00,488727.923163336,7272026333395.814
10687,A2780,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,17542800.0,0,1,0,1,0,1,0,0,1,1,0,203 days 01:00:00,488727.923163336,7272026333395.814
10889,A2813,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,71.5,15987600.0,0,1,0,1,0,1,0,0,1,1,0,185 days 01:00:00,488727.923163336,7272026333395.814
10911,A2816,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,71.5,17974800.0,0,1,0,1,0,1,0,0,1,1,0,208 days 01:00:00,488727.923163336,7272026333395.814
11721,A29545,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,7,0.0,0,44.0,20041200.0,0,1,0,1,0,1,0,0,1,1,0,231 days 23:00:00,488727.923163336,7272026333395.814
11808,A2972,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,157,0.0,0,71.5,18406800.0,0,1,0,1,0,1,0,0,1,1,0,213 days 01:00:00,488727.923163336,7272026333395.814
